model_type,model_label,mse,r2,mae,rmse,spearman,n_predictions
pick_cfb_bin,Pick + College Bin,25.62998717288257,0.2080515971150478,3.6640764212963584,5.0626067566899335,0.5076409732476266,2866
spline,Spline,21.28868210384969,0.3421948408344422,3.429209494543815,4.613965984253643,0.5763060664838131,2866
xgb,XGBoost,21.408044921627724,0.3385066145288442,3.40550036393028,4.626882851513287,0.5661547281760227,2866
tabnet,TabNet,24.689556342302108,0.2371102419469096,3.5938190473016127,4.968858655898969,0.5214054533473238,2866
