test_year,pick_cfb_bin_spearman,spline_spearman,xgb_spearman,tabnet_spearman
2010,0.5490716290970815,0.5622487228243201,0.5147525051104285,0.5496692184095996
2011,0.5148740215655863,0.6008874587294263,0.6042587849757619,0.3783106385803926
2012,0.5038722627309391,0.6390781259534697,0.613807075182791,0.5385178106979586
2013,0.5356038090037826,0.4838717174568297,0.463011020022903,0.5445372027859685
2014,0.5043470096321446,0.531866696054882,0.5397862874832112,0.444054622081791
2015,0.5354908725684441,0.6416145449972401,0.6407207390665645,0.5358770788239391
2016,0.4702423130632535,0.5540703678312353,0.5550060546042936,0.4986719128899268
2017,0.4639806559168444,0.5387506019971646,0.5347807944610707,0.5132100171167946
2018,0.5492749791542607,0.673909700538095,0.6288355993264242,0.651044868037124
2019,0.5735219604826726,0.5895895741325121,0.6039157584539718,0.5738632358220535
2020,0.5257572470743613,0.5796005104182874,0.6159172745584323,0.4138596053597179
2021,0.4851558764901596,0.5303434931792559,0.4818407503837604,0.5051037326162845
2022,0.4423429494703083,0.5196670755649543,0.5056607906571118,0.4752845826651911
2023,0.4491870450891198,0.5575792650137114,0.5421392440389864,0.6097930879110787
2024,0.561187108689118,0.6546857914186441,0.6553439474098043,0.6428849014376099
