model,n_predictions,mae,rmse,spearman,r2
pick_bin,4547,3.435674408346331,4.6506115766383616,0.5397437803923629,0.30856739197894356
spline,4547,3.506451531095095,4.703331444629126,0.5441211301370831,0.29280221848069576
xgb,4547,3.479414807910713,4.729258774351573,0.5454287794432005,0.2849838078042044
tabnet,4547,3.7749528415240583,5.481969024650704,0.41970593294734243,0.039266631779270034
