test_year,n_test,pick_bin_mae,pick_bin_rmse,pick_bin_spearman,pick_bin_r2,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2000,169,3.315858204911459,4.6091783855867705,0.5139251549011492,0.24041590553425918,4.295924522510784,5.708540594815022,0.4353477638813414,-0.16514242609604834,3.717281147738445,5.2838256610795975,0.49795621752832825,0.0017811003013346038,4.188075143204638,6.284212053302071,0.005301792839983574,-0.41198632822077474
2001,174,3.150140424831703,4.28115640053241,0.662682988136886,0.37649428682744,3.533622103383422,4.659670068929789,0.5777241019259743,0.2613672088359764,3.457137363994944,4.702557122260685,0.5880313987614614,0.24770806012892077,3.1831539452247237,4.220492927793309,0.6506821160757646,0.3940390982725669
2002,171,3.2161932896025305,4.368331987520801,0.5234189628971399,0.2680131624291988,3.4998666219973877,4.547167870624633,0.5274405861549394,0.20685247483804703,3.5173195457162216,4.86912155152057,0.5257781635548887,0.0905617194378785,3.0672264524370605,4.274244396326934,0.5800085315000586,0.2992054750424631
2003,165,3.3743201363360704,4.616776047889392,0.39388356406714875,0.1517881602083181,3.5238344437338487,4.865064507903598,0.4581504380044929,0.05810190133281945,3.5185344869440254,4.8227354114083,0.43625002142659913,0.07442080104322446,3.568206148436575,4.750689238823954,0.4079428105088347,0.10186843741201146
2004,181,3.347274007921081,4.4396196017375384,0.5540186490641075,0.33445617737695776,3.437988189488476,4.585498255285789,0.5398034802972931,0.29000024077018105,3.4880185197647764,4.763311935805578,0.5434466983870386,0.2338687404927844,3.5875260480859663,4.689951399312587,0.5070005722155018,0.25728563994026754
2005,161,3.5196178892208874,4.448454525773354,0.5478597201042701,0.2285858448898438,3.8193715730854816,4.798214932904703,0.4220357670833962,0.10251192040748613,3.872551529257564,4.798071954371702,0.44691900918015715,0.1025654068056241,4.08980709573497,5.056276429374679,0.03799116523808879,0.0033769873802008687
2006,172,3.762837550389922,5.154787526055869,0.5109920811278513,0.22141916227468605,3.738914450123368,4.951376482314943,0.5454013601947607,0.2816533479167893,3.72901439424171,4.996447668256917,0.5204650576691516,0.26851595291140706,3.786289885986683,5.1684887630874625,0.5324750166407771,0.21727478290227686
2007,172,3.390729356166519,4.339713114586697,0.5124279865478842,0.370965249485133,3.4809328069855865,4.503668819930785,0.4626761077198777,0.3225371402684073,3.3529520405586375,4.366819759141658,0.47002568515659415,0.3630825748254254,3.330714916073999,4.288830644431922,0.5240770038101659,0.3856294465990354
2008,169,3.7084825067792813,5.067471894296292,0.5191076575219596,0.2852507280357949,3.593443903552145,4.862312289211608,0.5627514331365184,0.341953290843766,3.734764001778597,5.145194948100925,0.5503698761526192,0.2631574557490326,3.5732733935294068,4.954910084113681,0.5692120280228938,0.3166509735535391
2009,174,3.457085150419701,4.5684159230503045,0.5232161034221452,0.2551829902210413,3.5132754693677337,4.5642636734176545,0.5012722054826175,0.2565363086314617,3.6116930049383775,4.683990884864539,0.47705017612377193,0.21702049251138333,3.470102164937162,4.677456856918002,0.5264671045587606,0.21920343512092078
