test_year,n_test,tabnet_mae,tabnet_rmse,tabnet_spearman
2000,169,4.245948134794743,6.367680332763793,-0.02829422901212145
2001,174,4.296794250093657,5.874256655597557,-0.14086515696164492
2002,171,3.1036351354498612,4.331857106089209,0.560087048783856
2003,165,3.590463383992513,4.824977370119183,0.3706345956250073
2004,181,4.264322047734129,5.342602450447153,0.20126411552186665
2005,161,3.659473306644037,4.460545262404179,0.550673271676793
2006,172,4.02600602909576,5.374280307811456,0.45585559232908834
2007,172,3.6205994639285777,4.727783765669878,0.5138027451427135
2008,169,3.5887262045279056,4.925505108709624,0.5664823935290385
2009,174,3.2764783258410706,4.5062399416767445,0.5838184672223047
2010,173,3.3721532987032323,4.544962221242485,0.5251416853693454
2011,186,3.654417073854836,5.502396685027986,0.6070238276678264
2012,182,3.6267458514852837,5.059912987976708,0.5505048684869742
2013,173,3.5348276003247743,4.7722981904915045,0.5085594484240048
2014,168,3.90987130289986,5.102010463767987,0.4915986896768446
2015,174,3.770611783553814,4.808775210605087,0.5682103600873968
2016,181,3.5095773230600096,4.970787559943916,0.5084295592921853
2017,189,3.722489384747056,5.1039771709808095,0.5074326900096587
2018,193,3.005961014816798,4.278783900724712,0.6728313240744879
2019,193,3.210925057762027,4.2496799752450825,0.5788015655059977
2020,206,4.304632605858219,5.9645512459584165,-0.05111055106085347
2021,214,3.5781519758367093,4.7950231541694635,0.5410608039306111
2022,210,3.7726812521616617,4.717740986090843,0.45917037245626113
2023,206,3.0415059409095244,4.130073521061212,0.5894553356816088
2024,191,4.214717253340477,5.443223944181709,0.07296445641441632
