Year,Team,PlayerID,Player,Position,Experience,AV
2019,cle,AnkoEl00,Eli Ankou,DT,2,1
2019,cle,AverGe00,Genard Avery,LB,1,0
2019,cle,BeckOd00,Odell Beckham Jr.,WR,5,9
2019,cle,BitoJo00,Joel Bitonio,LG,5,11
2019,cle,BrowPh01,Pharaoh Brown,TE,2,0
2019,cle,BryaBr00,Brandin Bryant,DT,Rook,0
2019,cle,BurnMo99,Morgan Burnett,FS,9,3
2019,cle,BurrJu00,Juston Burris,DB,3,4
2019,cle,CallAn00,Antonio Callaway,WR,1,1
2019,cle,CarlSt00,Stephen Carlson,TE,Rook,0
2019,cle,CarrTr00,T.J. Carrie,LCB,5,3
2019,cle,ChubNi00,Nick Chubb,RB,1,12
2019,cle,CorbAu00,Austin Corbett,G,1,0
2019,cle,CoxxBr01,Bryan Cox Jr.,DE,2,1
2019,cle,DaviTa00,Tae Davis,LB,1,1
2019,cle,EkuaDa00,Daniel Ekuale,DT,1,1
2019,cle,ForbDr00,Drew Forbes,G,Rook,0
2019,cle,GarrMy00,Myles Garrett,LDE,2,5
2019,cle,GilbGa01,Garrett Gilbert,QB,1,0
2019,cle,GillJa00,Jamie Gillan,P,Rook,2
2019,cle,GustPo01,Porter Gustin,DE,Rook,1
2019,cle,HarrDe03,Demetrius Harris,TE,5,1
2019,cle,HarvWi00,Willie Harvey,LB,Rook,0
2019,cle,HassJT00,J.T. Hassell,LB,Rook,0
2019,cle,HiggRa00,Rashard Higgins,WR,3,0
2019,cle,HillDo00,Dontrell Hilliard,RB,1,1
2019,cle,HodgKh00,KhaDarel Hodge,WR,1,1
2019,cle,HubbCh00,Chris Hubbard,RT,5,6
2019,cle,HughCh01,Charley Hughlett,LS,4,1
2019,cle,HuntKa00,Kareem Hunt,RB,2,3
2019,cle,JackRo00,Robert Jackson,DB,Rook,0
2019,cle,JeffMa00,Malik Jefferson,LB,1,1
2019,cle,JohnDE04,D'Ernest Johnson,RB,1,1
2019,cle,KirkCh00,Christian Kirksey,LB,5,1
2019,cle,KushEr00,Eric Kush,RG,6,4
2019,cle,LammKe00,Kendall Lamm,T,4,1
2019,cle,LandJa00,Jarvis Landry,WR,5,10
2019,cle,LawrDe02,Devaroe Lawrence,DT,1,2
2019,cle,MayfBa00,Baker Mayfield,QB,1,11
2019,cle,McCrJu00,Justin McCray,G,2,3
2019,cle,McCrRo00,Rob McCray,LB,1,0
2019,cle,MitcTe00,Terrance Mitchell,DB,4,2
2019,cle,MurrEr00,Eric Murray,DB,3,2
2019,cle,NjokDa00,David Njoku,TE,2,0
2019,cle,OgunLa00,Larry Ogunjobi,LDT,2,7
2019,cle,RandDa00,Damarious Randall,SS,4,4
2019,cle,RatlDa00,Damion Ratley,WR,1,2
2019,cle,RedwSh00,Sheldrick Redwine,FS,Rook,2
2019,cle,RichSh00,Sheldon Richardson,RDT,6,8
2019,cle,RobiGr01,Greg Robinson,LT,5,6
2019,cle,SchoJo00,Joe Schobert,MLB,3,9
