year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,spline,8577,255,3.713501304194873,5.426238324144336,0.27950743435200426,-0.052637451115307377
2010,xgb,8577,255,3.1316724848568294,4.373032241253142,0.5540177264859989,0.3163301193208151
2010,catboost,8577,255,3.120452551804487,4.5325989486677285,0.542073001598634,0.26552726914337366
2010,rf,8577,255,3.0231656041099773,4.4966219499885804,0.5715671757881553,0.27714058657798324
2010,mlpe,8577,255,14.296604808861433,25.49475732267739,0.3210069609769879,-22.23714957584276
2010,ftt,8577,255,3.083837035384051,4.5543229697846535,0.5553266986250108,0.25846997691144213
2010,tabnet,8577,255,2.942250883552992,4.443667444285882,0.5465576343904669,0.29406585575014577
2015,spline,9849,256,3.907983794231228,5.88617364856753,0.2458571848118836,-0.12587990331487608
2015,xgb,9849,256,3.3036868415313165,4.651384451077772,0.5590202393705018,0.2969432205328397
2015,catboost,9849,256,3.234758341430704,4.563467536133584,0.5852137583697478,0.3232693329057037
2015,rf,9849,256,3.1398682419558943,4.690243961562491,0.5916829680871739,0.2851469196736739
2015,mlpe,9849,256,3.379496569594661,5.2971107698072375,0.5088998859214298,0.08819066035228496
2015,ftt,9849,256,3.2607807596173495,4.851380659514764,0.548888722862047,0.23518458622220717
2015,tabnet,9849,256,4.341225767496333,6.771951376607115,0.04134808767304464,-0.49023098570685786
2020,spline,11121,255,3.8134412514591607,5.774754727199835,0.42275108591925437,0.002774838807188429
2020,xgb,11121,255,3.1513739499391296,4.651588003914906,0.5779893751674425,0.35296373097370537
2020,catboost,11121,255,3.159176547908607,4.584759547897462,0.5797640559093189,0.3714218667203186
2020,rf,11121,255,3.2314307696194353,5.01314925565477,0.5748466803713908,0.24846811389689416
2020,mlpe,11121,255,3.3996621846579864,5.39624053145287,0.5461074334125015,0.12921940797591003
2020,ftt,11121,255,3.329612201982379,4.933533439990335,0.5538007055334984,0.2721493165552803
2020,tabnet,11121,255,3.788450077423359,5.786815013032638,0.527440038326208,-0.001394820254816409
2024,spline,12156,257,3.6057549331610614,5.22767419726243,0.5206065886324501,0.10035187157198122
2024,xgb,12156,257,3.0303280070598024,4.201673745307635,0.5992140889304753,0.4188338538377143
2024,catboost,12156,257,2.9993216666517557,4.1090621834557455,0.6059309875695182,0.4441711545315963
2024,rf,12156,257,3.0016411695174767,4.232228552682365,0.631149782884303,0.41035057445652234
2024,mlpe,12156,257,3.1893819540611785,4.64166887138332,0.588685303943018,0.290742454241089
2024,ftt,12156,257,3.029416226528352,4.381415731940321,0.6025695590236082,0.36804728980466106
2024,tabnet,12156,257,3.1655745110446842,4.574167754396841,0.5678081997775282,0.311221106937692
