model_type,n_predictions,mae,rmse,spearman,r2
spline,4599,3.8104653908135946,5.883347682019124,0.3431716432161308,-0.09405108578597088
xgb,4599,3.2264093378030014,4.643019588740237,0.5528674072582974,0.31861965002271364
catboost,4599,3.2079687334755382,4.603021678170918,0.5673582261273971,0.33030876702100753
rf,4599,3.123550192153495,4.747927763100154,0.5980604815686487,0.2874804602476766
mlpe,4599,4.065343323847179,7.975096982382056,0.5044330071125603,-1.0102983640448868
ftt,4599,3.2858303949724887,4.989764556205616,0.529714386333905,0.21304720780313569
tabnet,4599,3.5227878014403293,5.591314809955546,0.44867161878729883,0.011864587940390248
