test_year,n_train,n_test,cfb_match_rate,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,catboost_mae,catboost_rmse,catboost_spearman,catboost_r2,rf_mae,rf_rmse,rf_spearman,rf_r2,mlpe_mae,mlpe_rmse,mlpe_spearman,mlpe_r2,ftt_mae,ftt_rmse,ftt_spearman,ftt_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2007,7814,255,0.0001279754287176862,3.7550901488109427,6.144780447977566,0.42104928459462543,-0.34965769647260525,2.949351644136158,4.488562601191204,0.491887555925811,0.2798458489669249,2.9761607192713826,4.428000006412303,0.5029855375768415,0.29914831658419394,2.75597354358635,4.138953732247587,0.5952929579867209,0.38766083393734285,3.538616345073105,5.097721552390375,0.4067206427439948,0.07111250845366068,3.299914310327992,5.168501392365187,0.4367540889813968,0.04513896736981682,3.8174037412977717,6.292198446855197,0.35395173837236393,-0.41519314922311
2008,8069,252,0.00012393109431156277,3.9979810034439587,6.64873763105662,0.4737635733725704,-0.340977994622812,3.355422716341092,5.033275229544814,0.42055635354260024,0.23149867848445038,3.417904213829287,4.905790679261406,0.5552553693324882,0.26993540442872455,3.0125545849883575,4.847283693986361,0.6153550175687387,0.28724522303813094,3.5324397992925234,5.594746528606899,0.538025513951105,0.05048005570092928,4.018306967549896,6.501972131189905,-0.0017815183786799708,-0.2824294058662118,3.768479835864899,5.7446835388184185,0.4796734026274421,-0.0010954308844888239
2009,8321,256,0.00024035572647518327,3.78669764939104,6.041636100205991,0.48643981612593334,-0.35171913422216505,3.040502108251985,4.170774669702604,0.5758089784628982,0.35581473079558235,3.0275337131252478,4.218776459386752,0.5647831153557594,0.3409014398792686,2.8530485424426586,4.292786532248672,0.6048704984140074,0.3175734410830956,2.998784470882068,4.469127318857097,0.5760491349945966,0.26035591353290344,2.9138160312021553,4.318565167947101,0.6087593253868497,0.3093527450363426,3.324022949416004,5.113812054994336,0.34964582238986497,0.031573064872323475
2010,8577,255,0.0003497726477789437,3.713501304194873,5.426238324144336,0.27950743435200426,-0.052637451115307377,3.1316724848568294,4.373032241253142,0.5540177264859989,0.3163301193208151,3.120452551804487,4.5325989486677285,0.542073001598634,0.26552726914337366,3.0231656041099773,4.4966219499885804,0.5715671757881553,0.27714058657798324,14.296604808861433,25.49475732267739,0.3210069609769879,-22.23714957584276,3.083837035384051,4.5543229697846535,0.5553266986250108,0.25846997691144213,2.942250883552992,4.443667444285882,0.5465576343904669,0.29406585575014577
2011,8832,254,0.018568840579710144,3.9756053837470824,6.63647015682461,0.34056344561847496,-0.10161608686374368,3.46084375327497,5.320359249414692,0.5495497036063485,0.29199244091710475,3.4515397409398707,5.240275101980185,0.59055132387735,0.3131464428746129,3.3186579791530555,5.471378090186021,0.5917337891257038,0.2512282828924789,3.6359416369010105,5.869777072444736,0.4627224953226951,0.13821447969441736,3.388686381754845,5.386151826651997,0.5747408964653378,0.27437345747887765,3.7066249036026035,6.31246443591996,0.5453798684534189,0.0033243078613282018
2012,9086,253,0.03466872110939907,3.887900041916043,6.1805514098189525,0.40545115951857597,-0.11259868514713811,3.3791635736952843,4.943107847905725,0.554814662973192,0.28832080867470555,3.290005343389521,4.827318238585974,0.5758064968856811,0.3212717016175447,3.1695506943406477,5.041868248719205,0.6145626487535387,0.25959885553912787,3.7775512966282903,6.095406431402963,0.4391520128660373,-0.08215490872095921,3.219069545410124,4.846143873331669,0.5712214498804493,0.3159675533049089,3.229970957788577,5.167630250860211,0.5735435298844213,0.22220175359023797
2013,9339,254,0.04914873112752972,3.7297092075456555,5.760025746107129,0.3256941731549332,-0.15800881219351326,3.2515971407176942,4.361351056634459,0.5801229417134417,0.33609627373766393,3.15426652078856,4.324600593427672,0.593622580595625,0.3472377628426311,3.0234597088820725,4.539011854869244,0.6398886591864628,0.2809060265216611,3.8729545082749417,6.520086907101936,0.5148515584186243,-0.48378092660220506,3.1126512624024785,4.711235407115332,0.5605515262153425,0.22530165974041405,3.7360281075134676,5.726169057166959,0.5665608372243491,-0.1444355675766833
2014,9593,256,0.0647347023871573,3.9220284014899494,6.126763918934474,0.29479387689468595,-0.11335451670690744,3.510198172647506,4.811362430253879,0.5800467187951183,0.31339442018799923,3.481805746911999,4.795186742829387,0.6164757496531459,0.3180033632118898,3.298369603125745,4.94181955811705,0.6037796713624127,0.27565586024627087,3.597589441936841,5.6978468288812,0.5015404710522162,0.0370744205113559,3.4913845597896636,5.283199347965025,0.5000927661216605,0.17212421643087195,3.458931132180628,5.29765539630236,0.6157981943506219,0.16758750111932785
2015,9849,256,0.07909432429688293,3.907983794231228,5.88617364856753,0.2458571848118836,-0.12587990331487608,3.3036868415313165,4.651384451077772,0.5590202393705018,0.2969432205328397,3.234758341430704,4.563467536133584,0.5852137583697478,0.3232693329057037,3.1398682419558943,4.690243961562491,0.5916829680871739,0.2851469196736739,3.379496569594661,5.2971107698072375,0.5088998859214298,0.08819066035228496,3.2607807596173495,4.851380659514764,0.548888722862047,0.23518458622220717,4.341225767496333,6.771951376607115,0.04134808767304464,-0.49023098570685786
2016,10105,253,0.09203364670954972,4.045906208255111,6.070502146259262,0.3241149022011232,-0.15440371646580964,3.3696255688610757,4.929969187475382,0.5084741272286621,0.23862801607841988,3.435945957693587,4.958217601267272,0.4950332614170525,0.22987779128435482,3.409600762959386,5.166019650372163,0.51302549904616,0.1639724487005556,3.629499765212424,5.519964969062978,0.48474408451125595,0.04548858722841076,3.610739303772228,5.46418990263819,0.49111384362506844,0.06468036588052517,3.4742029430371937,5.30456477455763,0.5035739138707875,0.1185290660384043
