test_year,n_train,n_test,cfb_match_rate,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,catboost_mae,catboost_rmse,catboost_spearman,catboost_r2,rf_mae,rf_rmse,rf_spearman,rf_r2,mlpe_mae,mlpe_rmse,mlpe_spearman,mlpe_r2,ftt_mae,ftt_rmse,ftt_spearman,ftt_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2007,1358,172,0.0007363770250368188,3.4888471150563594,4.511568595085532,0.4537928497150094,0.32015841384951516,3.4897742358058,4.430483970611391,0.47533786159126,0.3443758590388388,3.3563462438504272,4.344415804979959,0.5165730089224643,0.36960121532467793,3.3717647537781024,4.315003682358323,0.5095920363209067,0.37810804512517293,4.2393122290282745,5.558675445984665,0.3197143224567386,-0.032036916603645826,3.45623173685961,4.424871471326165,0.48071404015164454,0.3460358850526807,5.040883474571761,5.895209262275837,-0.08097687318993825,-0.16078302632651154
2008,1530,169,0.00065359477124183,3.5636632260980696,4.816229394757554,0.5783104032829356,0.35436754688590166,3.7753284749900096,5.136097777832897,0.5369092212552619,0.2657607608665551,3.593275522474558,4.931441059763197,0.5739366260753235,0.3231090337918645,3.66531403307903,5.0079555353762775,0.5704872552883732,0.30194128609433435,4.119227039853673,6.388360000229969,0.5425417381099021,-0.1359253401522078,3.566887786402505,4.9556739139122845,0.5447747846591393,0.3164402724218396,3.6353423828204003,5.265224270198752,0.49830619149171257,0.22837769451725476
2009,1699,174,0.0011771630370806356,3.444091832968999,4.475467048990082,0.5132191793289195,0.28518272259123445,3.5266580551691438,4.713238054494332,0.4656827751164399,0.207212006781902,3.473171077779164,4.5679878819912005,0.5029937768741141,0.2553225560273956,3.451481383035144,4.5138264295319805,0.5144686332007029,0.2728767637651911,3.627940894115245,4.9605933163209,0.43241392238953064,0.12181591818613835,3.310195856395809,4.443019368229322,0.5139382154545844,0.2955101732528529,3.4202415991103514,4.621711645242723,0.5222457468211932,0.2377033614645494
2010,1873,173,0.0010678056593699946,3.727100077071271,4.694568878029324,0.560592729326674,0.22573993075214516,3.5264920822204755,4.678194126783332,0.5416772162311047,0.23113178046231886,3.418743710415804,4.441514030221832,0.5671446530738522,0.306961266027173,3.3065467846414083,4.443162068715614,0.5688715347142046,0.30644686197323867,39.451334785433176,83.90738818508069,0.3350301455374674,-246.3408432592176,3.5767258646860287,4.581548082639606,0.5474284525959122,0.26257148166605837,6.87872002441759,22.84166242976803,0.45966852049430446,-17.329509748781394
2011,2046,186,0.05474095796676442,3.7903559813618504,5.346371098320801,0.6136815005081663,0.34853955253350344,3.9784008575383054,5.6175233231968145,0.5295447270945572,0.28078353534199485,3.757444643606216,5.427808362878673,0.6057162543572746,0.3285419821004073,3.817340668090841,5.314221701384195,0.595974505598346,0.35635086549549266,12.758026140832133,23.057972414387738,0.3007484133332659,-11.117473622615304,3.729129481059249,5.418692364926619,0.6170941077309807,0.33079551405754315,3.7153744434797638,5.154441068643266,0.5618531133033096,0.3944737013455003
2012,2232,182,0.10439068100358423,3.2020721211712107,4.730083882136465,0.6614118982673868,0.3752139441739417,3.626873568355382,5.03705074591137,0.5647226817900376,0.2914894920280451,3.4497214882264458,4.893549109682292,0.5959821444632311,0.33128426020168344,3.4917122727391168,4.940580348515971,0.5910638825251558,0.3183686186678618,5.976834536540312,7.8530411982716215,0.34028742614051594,-0.7221437306010687,3.477978226247725,4.9154972342141665,0.5838227475345333,0.32527227579625506,3.5695382972340006,5.005860215081055,0.5781118937598777,0.3002368323150544
2013,2414,173,0.14167357083678542,3.519274165488774,4.6336456809545625,0.4800311645166281,0.23247588342800385,3.547511236171502,4.720067967946668,0.48143571973997795,0.20357865357998606,3.4982108912213716,4.6320718147868085,0.4998635307787786,0.2329971900498793,3.4045855013048336,4.5288413423403675,0.5026086921052098,0.2668031340828487,3.773337675140083,5.1561119062919705,0.4511738333176885,0.04963363808732846,3.4426037438343027,4.627584145131464,0.5035900204235104,0.23448265400543244,3.3263724029408714,4.500489023938689,0.5269783154513388,0.275954596653613
2014,2587,168,0.1766524932354078,3.7361817665951054,4.894301598265617,0.5430300510048526,0.3045894486295796,3.677579113770099,4.827242198513847,0.5287807276543509,0.32351526920746754,3.673061134880957,4.771580697471065,0.5170452443214237,0.33902601615051964,3.6468193000523934,4.818090236786743,0.553401385918349,0.3260779305378053,3.772861286288216,5.2583739211207465,0.4748949616239204,0.19728246411415884,3.89172902064664,5.170294898837554,0.46179025397046675,0.22394866710602845,4.873412891512825,6.081544552475234,0.0056126452524150276,-0.07371150102082313
2015,2755,174,0.20326678765880218,3.2549110844068503,4.363196975611498,0.6422654919043388,0.3919340955685703,3.2857457092781175,4.517250391454515,0.6028641306586707,0.34823754144606645,3.2594908206289954,4.320850366249041,0.6259404062739943,0.4036798749195444,3.184017631051717,4.2954651720879085,0.6401487482423818,0.4106661084294456,3.2896300054144585,4.5909922428522485,0.63411494358914,0.3267844619829009,3.3545990182065415,4.430242142607715,0.6312693912621378,0.3731033614630491,3.5965366527951996,4.794739406549747,0.5126670144434742,0.26570422436466135
2016,2929,181,0.22703994537384772,3.514300028529986,4.922567104381023,0.5450269762533911,0.23177288101798954,3.567614376215645,4.686108854451831,0.5555576428660979,0.3038046967365795,3.5294288684173973,4.726472330596008,0.5554134706081916,0.29175978450159845,3.5323798355571583,4.835106095855988,0.5168281009640239,0.2588290992656396,3.5121318898806915,4.933873937453592,0.5074701030687946,0.22823968727465938,3.566942208379672,4.910017862303702,0.5440451834830009,0.23568481528558272,3.5611548924314382,5.09539520702933,0.4811921708213905,0.17688201289534145
