test_year,n_train,n_test,cfb_match_rate,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,catboost_mae,catboost_rmse,catboost_spearman,catboost_r2,rf_mae,rf_rmse,rf_spearman,rf_r2,ftt_mae,ftt_rmse,ftt_spearman,ftt_r2,stack_mae,stack_rmse,stack_spearman,stack_r2,pick_bin_mae,pick_bin_rmse,pick_bin_spearman,pick_bin_r2
2007,7814,255,0.0001279754287176862,3.755020465304073,6.144209496158088,0.42178311650873446,-0.3494068970425077,2.9228687540799214,4.441231122222957,0.4944276481384707,0.294953689675453,2.970927270602093,4.382745750173787,0.5126333714957847,0.3134005522890958,2.764519870684757,4.10349700875984,0.5760259728983234,0.3981072148091451,3.0550076672294524,4.572785944667875,0.4831482500278298,0.2525663613381396,2.970927270602093,4.382745750173787,0.5126333714957847,0.3134005522890958,3.4311225776860454,5.488363997708649,0.5084516066726817,-0.0767049478063282
2008,8069,252,0.00012393109431156277,3.9682603392130957,6.62510015601,0.47753242289376485,-0.3314601009293401,3.3518653659848496,5.061355014709107,0.452804328811931,0.22290008421558316,3.415017783135836,4.865495696265199,0.5137871923486215,0.2818792994872499,2.9977033762136607,4.82792132619057,0.6066284790089375,0.2929280168966628,3.731839007972675,5.131455340481013,0.49310262271715966,0.20122517732577216,3.415017783135836,4.865495696265199,0.5137871923486215,0.2818792994872499,3.5470492498530595,5.920712400774213,0.5668079504524661,-0.06338662058271383
2009,8321,256,0.00024035572647518327,3.7689718510391907,6.033618428481615,0.501373088583762,-0.3481338639574447,3.0142284213441144,4.388615933456066,0.5596196316503231,0.28676526415660186,3.02440921141374,4.273003766091746,0.5832367103826741,0.32384870203603533,2.845497747484737,4.274290772404961,0.5994453765819041,0.3234413342506065,2.851931653175675,4.253208552725409,0.5965489319683779,0.3300988984491755,3.02440921141374,4.273003766091746,0.5832367103826741,0.32384870203603533,3.383037902605291,5.32945277996158,0.5524055229850492,-0.05182277939921964
2010,8577,255,0.0003497726477789437,3.958888814034743,6.180518467845666,0.4371591656769125,-0.3656232611377852,3.07372965693346,4.493785832128983,0.5330828306751044,0.2780521455167343,3.075331204116694,4.4272560042984646,0.5604105638415768,0.2992705666258083,3.008381575776898,4.495198876465963,0.5652203612178774,0.27759804968099244,3.0353319442315505,4.672034240312073,0.5445876384353012,0.21964337339283246,2.9924205263331918,4.463200356066242,0.5671332428785041,0.2878461035314436,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.044679259722244735
2011,8832,254,0.018568840579710144,4.216262590082724,7.191556849536489,0.48497705935840035,-0.29360538137456405,3.3890895918011665,5.273586908734299,0.5693301088971753,0.3043861941102174,3.364779986988533,5.120105022842198,0.5910181061451104,0.34428711736864837,3.29257658850799,5.355125690089215,0.5847686801391142,0.2827091102384601,3.299115274695417,5.338781541224422,0.5825876222410761,0.28708085400323846,3.274607394619567,5.282362195884966,0.5923608993301089,0.3020692550992009,3.7132733579672093,6.3316608580131515,0.6021940544849851,-0.00274675960532611
2012,9086,253,0.03466872110939907,4.220997040089572,6.7914155790067845,0.56703920493857,-0.3433980358055444,3.2694291428289204,4.970438690680382,0.554526952697847,0.28042918859077115,3.169743664970478,4.688323000791378,0.6005638560664088,0.35979487688303935,3.0981631976532515,4.942231797153733,0.6298122877352363,0.2885730434478111,3.1650579027787744,5.020066707977587,0.6088650647229055,0.26598814830138495,3.0916116247626624,4.840810537026279,0.6233083417188896,0.31747232398884073,3.6722369581854912,5.892390234797136,0.5877190203825525,-0.011269940157951686
2013,9339,254,0.04914873112752972,4.025880287773572,6.22696787269945,0.5101043899274594,-0.3533691268263597,3.110400183111664,4.366810094253144,0.5691948249469885,0.33443323694227,3.1278199629918224,4.36311390253436,0.6052151218704452,0.33555946921324853,3.0529422195985876,4.626774624390836,0.6342949453874249,0.25282951987447877,2.992054375765233,4.5455445290011545,0.6007974358520484,0.27883465627044846,3.0191448593874077,4.505790334699281,0.631033068907022,0.29139375872790574,3.5160310225250737,5.3817981759304026,0.626312942692814,-0.010922422329789683
2014,9593,256,0.0647347023871573,4.119041470751233,6.617993735886007,0.5348898606225437,-0.29904407569691327,3.3422062317840755,4.7042401479979645,0.5961354953788393,0.3436278414397912,3.40180724682206,4.66790981084337,0.624511246893329,0.3537268755783045,3.2820378794863374,4.897063642975301,0.6152584282229604,0.288716589596144,3.3143801047699313,5.011057809083032,0.6179304359018947,0.2552165646405562,3.2633905656168647,4.774200875011969,0.6281040536981445,0.32395974137378014,3.6257893908913097,5.721506274709471,0.6166974978940707,0.029061012546885534
2015,9849,256,0.07909432429688293,4.10107397744609,6.351357600559742,0.39673210119724867,-0.31086828991894455,3.1927834061423255,4.591130549393428,0.5798787750746379,0.31503999881341926,3.202778148184424,4.583670113099158,0.5803237860898788,0.3172642651571337,3.1745613594281084,4.707208599337714,0.5915343858969612,0.2799663125298134,3.1706743699870463,4.6775182179808095,0.5771926299761263,0.2890207888644659,3.146150784031228,4.616915552171346,0.5910434026694023,0.307324560657957,3.519697451655406,5.437378452309786,0.5776001912931042,0.039261818867196374
2016,10105,253,0.09203364670954972,4.184856496663561,6.455719221407394,0.41088669749798756,-0.3055627456917871,3.380523209279705,5.004727252547275,0.4932339624326123,0.2153620475647885,3.432449359966061,4.968870072887672,0.4765171058353268,0.22656510182660694,3.4202087844333855,5.197665920714848,0.5036404849243507,0.1536983142607974,3.4080830738870653,5.275745745991367,0.5052344291333927,0.12808088832451991,3.3881035304702705,5.080668197489454,0.49362436217045697,0.1913694421995551,3.7788279585628555,5.7530115033988745,0.5048148063642343,-0.036809498155226494
