year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,spline,8577,255,3.7135013041948715,5.426238324144344,0.27950743435200426,-0.05263745111531026
2010,xgb,8577,255,3.0754080019176793,4.471349594399101,0.5347317122936797,0.2852431237827383
2010,rf,8577,255,3.000495227643911,4.492613572848542,0.5651469035790582,0.278428754335592
2010,ftt,8577,255,3.3181239565505702,4.954483604219775,0.5495824604219012,0.12243785740190039
2010,pick_bin,8577,255,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.044679259722244735
2015,spline,9849,256,3.907983794231246,5.886173648567572,0.2458571848118836,-0.1258799033148923
2015,xgb,9849,256,3.2268473002068276,4.594286558592556,0.5756599970946156,0.3140979724226962
2015,rf,9849,256,3.1646243453336633,4.69422558444633,0.6002860240115645,0.2839327041527653
2015,ftt,9849,256,3.1581159936613403,4.72766918571183,0.5888893286890176,0.2736932403933129
2015,pick_bin,9849,256,3.519697451655406,5.437378452309786,0.5776001912931042,0.039261818867196374
2020,spline,11121,255,3.813441251459167,5.774754727199845,0.42275108591925437,0.002774838807184987
2020,xgb,11121,255,3.1231090814459557,4.7401334204291885,0.5849349722067806,0.3280959273614592
2020,rf,11121,255,3.248154005039467,4.993722600530206,0.5664465900486879,0.2542814108822288
2020,ftt,11121,255,3.383372386530334,5.083329127410768,0.5499065261479334,0.2272792031459946
2020,pick_bin,11121,255,3.717970722047137,5.687626440771704,0.5522494803141844,0.03263967663076439
2024,spline,12156,257,3.605754933161065,5.227674197262446,0.5206065886324501,0.10035187157197567
2024,xgb,12156,257,3.017359688356229,4.227791892472651,0.5976823960548938,0.41158618963728943
2024,rf,12156,257,2.9589968329521392,4.20373181631245,0.6278397149839818,0.41826437881410083
2024,ftt,12156,257,3.1493687744502425,4.53125892846476,0.6013624042695956,0.324082931678232
2024,pick_bin,12156,257,3.39580782564732,4.991037601857028,0.6131897421898097,0.1799556556879075
