pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,pass_cmp,pass_att,pass_inc,pass_yds,pass_td,pass_int,best_season_pass_yds,best_season_pass_td,best_season_pass_rating,career_pass_cmp_pct,career_pass_td_pct,career_pass_int_pct,career_pass_y_per_a
HoweSa00,Sam Howell,Sam Howell,QB,QB,North Carolina,JR,3,2019,2021,2022,12.0,37,713,1117,404,10283,92,23,3641,38,179.1,63.831692032229185,8.236347358997314,2.0590868397493285,9.205908683974933
ClifSe00,Sean Clifford,Sean Clifford,QB,QB,Penn State,SR,2,2021,2022,2023,0.0,26,487,779,292,5929,45,15,3107,24,150.5,62.51604621309371,5.7766367137355585,1.9255455712451863,7.611039794608472
MannSe00,Sean Mannion,Sean Mannion,QB,QB,Oregon State,SR,3,2011,2014,2015,0.0,37,987,1529,542,11154,68,41,4662,37,146.6,64.55199476782211,4.4473512099411385,2.6814911706998035,7.294964028776978
RenfSe00,Sean Renfree,Sean Renfree,QB,QB,Duke,SR,3,2010,2012,2015,0.0,36,864,1339,475,9135,47,38,3131,19,136.3,64.52576549663928,3.51008215085885,2.8379387602688575,6.822255414488424
WallSe00,Seneca Wallace,Seneca Wallace,QB,QB,Iowa State,SR,1,2002,2002,2005,4.0,14,244,443,199,3245,15,18,3245,15,119.7,55.07900677200903,3.3860045146726865,4.063205417607223,7.3250564334085775
RattSp00,Spencer Rattler,Spencer Rattler,QB,QB,South Carolina,SR,3,2020,2023,2024,6.0,36,753,1115,362,9243,65,27,3186,28,172.6,67.53363228699551,5.829596412556054,2.4215246636771304,8.289686098654709
YateT.00,T.J. Yates,T.J. Yates,QB,QB,North Carolina,SR,1,2010,2010,2011,3.0,13,282,422,140,3418,19,9,3418,19,145.5,66.82464454976304,4.502369668246446,2.132701421800948,8.09952606635071
McKeTa01,Tanner McKee,Tanner McKee,QB,QB,Stanford,JR,1,2022,2022,2024,2.0,12,264,426,162,2947,13,8,2947,13,126.4,61.97183098591549,3.051643192488263,1.8779342723004695,6.917840375586854
HeinTa00,Taylor Heinicke,Taylor Heinicke,QB,QB,Old Dominion,SR,1,2014,2014,2017,1.0,12,289,457,168,3476,30,16,3476,30,141.8,63.23851203501094,6.564551422319474,3.50109409190372,7.606126914660831
HillTa00,Taysom Hill,Taysom Hill,QB,QB,BYU,SO,1,2013,2013,2017,2.0,13,236,438,202,2938,19,14,2938,19,118.1,53.88127853881278,4.337899543378995,3.1963470319634704,6.707762557077626
BridTe00,Teddy Bridgewater,Teddy Bridgewater,QB,QB,Louisville,JR,2,2012,2013,2014,23.0,26,590,846,256,7688,58,12,3970,31,171.1,69.73995271867612,6.8557919621749415,1.4184397163120568,9.087470449172576
LewiTh01,Thaddeus Lewis,Thaddeus Lewis,QB,QB,Duke,SR,1,2009,2009,2012,3.0,12,274,449,175,3330,20,8,3330,20,134.5,61.02449888641426,4.4543429844097995,1.7817371937639197,7.416481069042316
TeboTi00,Tim Tebow,Tim Tebow,QB,QB,Florida,SR,3,2007,2009,2010,11.0,41,639,962,323,8927,83,15,3286,32,172.5,66.42411642411642,8.627858627858629,1.5592515592515594,9.27962577962578
SavaTo00,Tom Savage,Tom Savage,QB,QB,Pitt,SR,1,2013,2013,2014,1.0,13,238,389,151,2958,21,9,2958,21,138.2,61.18251928020566,5.3984575835475574,2.313624678663239,7.604113110539846
McSoTr00,Trace McSorley,Trace McSorley,QB,QB,Penn State,JR,2,2016,2017,2019,0.0,27,508,814,306,7184,57,18,3614,29,156.9,62.40786240786241,7.002457002457002,2.211302211302211,8.825552825552826
BoykTr00,Trevone Boykin,Trevone Boykin,QB,QB,Texas Christian,SR,2,2014,2015,2016,0.0,24,558,888,330,7476,64,20,3901,33,161.5,62.83783783783784,7.207207207207207,2.2522522522522523,8.41891891891892
LawrTr00,Trevor Lawrence,Trevor Lawrence,QB,QB,Clemson,JR,3,2018,2020,2021,21.0,40,758,1138,380,10098,90,17,3665,36,169.2,66.60808435852373,7.9086115992970125,1.493848857644991,8.873462214411248
TagoTu00,Tua Tagovailoa,Tua Tagovailoa,QB,QB,Alabama,JR,2,2018,2019,2020,12.0,24,425,607,182,6806,76,9,3966,43,206.9,70.0164744645799,12.520593080724876,1.4827018121911038,11.212520593080725
BrayTy00,Tyler Bray,Tyler Bray,QB,QB,Tennessee,JR,1,2012,2012,2017,0.0,12,268,451,183,3612,34,12,3612,34,146.3,59.42350332594235,7.5388026607538805,2.6607538802660753,8.008869179600888
HuntTy01,Tyler Huntley,Tyler Huntley,QB,QB,Utah,SR,1,2019,2019,2020,2.0,14,220,301,81,3092,19,4,3092,19,177.6,73.08970099667775,6.312292358803987,1.3289036544850499,10.272425249169435
PalkTy00,Tyler Palko,Tyler Palko,QB,QB,Pitt,SR,2,2004,2006,2010,2.0,24,450,731,281,5938,49,16,3067,25,163.2,61.55950752393981,6.703146374829001,2.188782489740082,8.12311901504788
TaylTy00,Tyrod Taylor,Tyrod Taylor,QB,QB,Virginia Tech,SR,1,2010,2010,2011,1.0,14,188,315,127,2743,24,5,2743,24,154.8,59.682539682539684,7.6190476190476195,1.5873015873015872,8.707936507936507
YounVi00,Vince Young,Vince Young,QB,QB,Texas,JR,1,2005,2005,2006,18.0,13,212,325,113,3036,26,10,3036,26,163.9,65.23076923076923,8.0,3.076923076923077,9.34153846153846
GrieWi00,Will Grier,Will Grier,QB,QB,West Virginia,SR,2,2017,2018,2019,1.0,22,516,785,269,7354,71,20,3864,37,175.5,65.73248407643312,9.044585987261145,2.547770700636943,9.368152866242038
