model_type,model,n_predictions,mae,rmse,spearman,r2
catboost,CatBoost,4599,3.166293850556686,4.549125465680415,0.5752956635213278,0.3458996177524208
stack,Stacked Ensemble,4599,3.1346866370427184,4.659064987941394,0.5805259723176138,0.313902068827968
xgb,XGBoost,4599,3.17234192260149,4.659327263786841,0.5609472673020716,0.3138248207190197
rf,Random Forest,4599,3.102163857799411,4.707983415281452,0.5995148620408962,0.2994188922991933
ftt,FT-Transformer,4599,3.3457887297482833,5.030580042298574,0.5303652860059692,0.2001202538049139
pick_bin,Pick-Bin Baseline,4599,3.567995622501011,5.5607102077078805,0.5774072578213921,0.0226522925911736
spline,Spline Ridge,4599,3.810465390813595,5.883347682019131,0.3431716432161308,-0.0940510857859733
