year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,spline,8577,255,3.713501304194871,5.426238324144344,0.2795074343520042,-0.0526374511153102
2010,xgb,8577,255,3.0754080019176793,4.471349594399101,0.5347317122936797,0.2852431237827383
2010,catboost,8577,255,3.0450543870506985,4.384156227240103,0.557774292235216,0.312847498289724
2010,rf,8577,255,3.000495227643911,4.492613572848542,0.5651469035790582,0.278428754335592
2010,ftt,8577,255,3.3181239565505702,4.954483604219775,0.5495824604219012,0.1224378574019003
2010,stack,8577,255,2.9945655585847635,4.451721178966535,0.5677973446792012,0.2915046566925278
2010,pick_bin,8577,255,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.0446792597222447
2015,spline,9849,256,3.907983794231246,5.886173648567572,0.2458571848118836,-0.1258799033148923
2015,xgb,9849,256,3.2268473002068276,4.594286558592556,0.5756599970946156,0.3140979724226962
2015,catboost,9849,256,3.2421697690834312,4.543974308914028,0.5873027356974897,0.3290384064950968
2015,rf,9849,256,3.1646243453336633,4.69422558444633,0.6002860240115645,0.2839327041527653
2015,ftt,9849,256,3.1581159936613403,4.72766918571183,0.5888893286890176,0.2736932403933129
2015,stack,9849,256,3.136346882268307,4.6259072233880865,0.5999123618698418,0.304623894071959
2015,pick_bin,9849,256,3.519697451655406,5.437378452309786,0.5776001912931042,0.0392618188671963
2020,spline,11121,255,3.813441251459167,5.774754727199845,0.4227510859192543,0.0027748388071849
2020,xgb,11121,255,3.1231090814459557,4.7401334204291885,0.5849349722067806,0.3280959273614592
2020,catboost,11121,255,3.1809345052671554,4.692288937192095,0.580769816299803,0.3415911871363152
2020,rf,11121,255,3.248154005039467,4.993722600530206,0.5664465900486879,0.2542814108822288
2020,ftt,11121,255,3.383372386530334,5.083329127410768,0.5499065261479334,0.2272792031459946
2020,stack,11121,255,3.2250781191322972,4.903930626942093,0.5741445112938353,0.2808577950388048
2020,pick_bin,11121,255,3.717970722047137,5.687626440771704,0.5522494803141844,0.0326396766307643
2024,spline,12156,257,3.605754933161065,5.227674197262446,0.5206065886324501,0.1003518715719756
2024,xgb,12156,257,3.017359688356229,4.227791892472651,0.5976823960548938,0.4115861896372894
2024,catboost,12156,257,2.9744664718235794,4.021563983038113,0.6096321865400922,0.4675907165261844
2024,rf,12156,257,2.9589968329521392,4.20373181631245,0.6278397149839818,0.4182643788141008
2024,ftt,12156,257,3.1493687744502425,4.53125892846476,0.6013624042695956,0.324082931678232
2024,stack,12156,257,2.9573505909086983,4.108461102631721,0.6180212117080397,0.4443337578747973
2024,pick_bin,12156,257,3.39580782564732,4.991037601857028,0.6131897421898097,0.1799556556879075
