test_year,model_type,model,n_train,n_test,cfb_match_rate,mae,rmse,spearman,r2
2007,spline,Spline Ridge,7814,255,0.0001279754287176,3.7550901488109423,6.144780447977567,0.4210492845946254,-0.3496576964726055
2007,xgb,XGBoost,7814,255,0.0001279754287176,2.8976774178865345,4.3924188517079585,0.489039016266987,0.3103664381581846
2007,catboost,CatBoost,7814,255,0.0001279754287176,2.9214430158931597,4.311885936111789,0.513578784719193,0.3354228228062812
2007,rf,Random Forest,7814,255,0.0001279754287176,2.753880112975226,4.0901030117433965,0.5828960501557391,0.4020300119726682
2007,ftt,FT-Transformer,7814,255,0.0001279754287176,3.218740070932636,4.9667197007997546,0.4561417651195912,0.1182403987100796
2007,stack,Stacked Ensemble,7814,255,0.0001279754287176,2.9214430158931597,4.311885936111789,0.513578784719193,0.3354228228062812
2007,pick_bin,Pick-Bin Baseline,7814,255,0.0001279754287176,3.4311225776860454,5.488363997708649,0.5084516066726817,-0.0767049478063282
2008,spline,Spline Ridge,8069,252,0.0001239310943115,3.9979810034439622,6.648737631056624,0.4737635733725704,-0.3409779946228137
2008,xgb,XGBoost,8069,252,0.0001239310943115,3.352828180074871,5.064522479488666,0.4491113050458334,0.2219271404854796
2008,catboost,CatBoost,8069,252,0.0001239310943115,3.4455553759386164,4.998766308120719,0.4959619500432886,0.2420004839137962
2008,rf,Random Forest,8069,252,0.0001239310943115,3.007515473074501,4.835017188058811,0.6013968887733482,0.2908480442235781
2008,ftt,FT-Transformer,8069,252,0.0001239310943115,3.9765732444468,6.0890041187037465,0.0601271157291682,-0.124697671517407
2008,stack,Stacked Ensemble,8069,252,0.0001239310943115,3.4455553759386164,4.998766308120719,0.4959619500432886,0.2420004839137962
2008,pick_bin,Pick-Bin Baseline,8069,252,0.0001239310943115,3.5470492498530595,5.920712400774213,0.5668079504524661,-0.0633866205827138
2009,spline,Spline Ridge,8321,256,0.0002403557264751,3.78669764939104,6.04163610020599,0.4864398161259333,-0.3517191342221644
2009,xgb,XGBoost,8321,256,0.0002403557264751,3.011426206099486,4.385704999809806,0.5580000547958133,0.2877111160904719
2009,catboost,CatBoost,8321,256,0.0002403557264751,3.010206259556166,4.203112670819085,0.5801412733911194,0.3457866547120403
2009,rf,Random Forest,8321,256,0.0002403557264751,2.8447474473282894,4.27703320274897,0.6004178597034174,0.3225728812883408
2009,ftt,FT-Transformer,8321,256,0.0002403557264751,3.5462758304638555,5.024901439037015,0.4274315744568074,0.0649551764584474
2009,stack,Stacked Ensemble,8321,256,0.0002403557264751,3.010206259556166,4.203112670819085,0.5801412733911194,0.3457866547120403
2009,pick_bin,Pick-Bin Baseline,8321,256,0.0002403557264751,3.383037902605291,5.32945277996158,0.5524055229850492,-0.0518227793992196
2010,spline,Spline Ridge,8577,255,0.0003497726477789,3.713501304194871,5.426238324144344,0.2795074343520042,-0.0526374511153102
2010,xgb,XGBoost,8577,255,0.0003497726477789,3.0754080019176793,4.471349594399101,0.5347317122936797,0.2852431237827383
2010,catboost,CatBoost,8577,255,0.0003497726477789,3.0450543870506985,4.384156227240103,0.557774292235216,0.312847498289724
2010,rf,Random Forest,8577,255,0.0003497726477789,3.000495227643911,4.492613572848542,0.5651469035790582,0.278428754335592
2010,ftt,FT-Transformer,8577,255,0.0003497726477789,3.3181239565505702,4.954483604219775,0.5495824604219012,0.1224378574019003
2010,stack,Stacked Ensemble,8577,255,0.0003497726477789,2.9945655585847635,4.451721178966535,0.5677973446792012,0.2915046566925278
2010,pick_bin,Pick-Bin Baseline,8577,255,0.0003497726477789,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.0446792597222447
2011,spline,Spline Ridge,8832,254,0.0185688405797101,3.9756053837470753,6.636470156824603,0.3405634456184749,-0.1016160868637412
2011,xgb,XGBoost,8832,254,0.0185688405797101,3.377012238082454,5.25927781116116,0.568117745665298,0.3081559630267461
2011,catboost,CatBoost,8832,254,0.0185688405797101,3.3999163336654536,5.172638250753378,0.5856159142472109,0.3307626177755949
2011,rf,Random Forest,8832,254,0.0185688405797101,3.279310167017875,5.349345582612072,0.5895048944540281,0.2842567045068894
2011,ftt,FT-Transformer,8832,254,0.0185688405797101,3.5940678851810968,5.884997689275881,0.5628175806361725,0.1337393817744838
2011,stack,Stacked Ensemble,8832,254,0.0185688405797101,3.284663073873711,5.310637473952106,0.5968545662536885,0.2945775302063306
2011,pick_bin,Pick-Bin Baseline,8832,254,0.0185688405797101,3.7132733579672097,6.3316608580131515,0.6021940544849851,-0.0027467596053261
2012,spline,Spline Ridge,9086,253,0.034668721109399,3.887900041916048,6.180551409818959,0.4054511595185759,-0.1125986851471405
2012,xgb,XGBoost,9086,253,0.034668721109399,3.2971306374162417,5.028374669218925,0.542600525471181,0.2635566315782787
2012,catboost,CatBoost,9086,253,0.034668721109399,3.2073665245043044,4.705176992628131,0.5933259235997205,0.3551836731096141
2012,rf,Random Forest,9086,253,0.034668721109399,3.1095220525314,4.940521242417962,0.6265205271290837,0.2890654218724249
2012,ftt,FT-Transformer,9086,253,0.034668721109399,3.3730714832664477,5.265991292033121,0.5833578040526443,0.192310626391476
2012,stack,Stacked Ensemble,9086,253,0.034668721109399,3.1191674255942603,4.867534697388012,0.6197543618955782,0.3099156031856191
2012,pick_bin,Pick-Bin Baseline,9086,253,0.034668721109399,3.6722369581854912,5.892390234797136,0.5877190203825525,-0.0112699401579516
2013,spline,Spline Ridge,9339,254,0.0491487311275297,3.729709207545651,5.760025746107124,0.3256941731549332,-0.1580088121935114
2013,xgb,XGBoost,9339,254,0.0491487311275297,3.0882835272024938,4.339930591833677,0.5808431535950386,0.3426016906101147
2013,catboost,CatBoost,9339,254,0.0491487311275297,3.2006350490510256,4.423702634963706,0.5987228195093127,0.3169777265824925
2013,rf,Random Forest,9339,254,0.0491487311275297,3.0466481859985928,4.608245214895782,0.6368398230776565,0.2588021060817325
2013,ftt,FT-Transformer,9339,254,0.0491487311275297,3.1647571750043886,4.705604141809262,0.6034883341836202,0.2271525223174966
2013,stack,Stacked Ensemble,9339,254,0.0491487311275297,3.035381385857709,4.513331101681755,0.6327497474725233,0.2890199661351862
2013,pick_bin,Pick-Bin Baseline,9339,254,0.0491487311275297,3.5160310225250737,5.3817981759304026,0.626312942692814,-0.0109224223297896
2014,spline,Spline Ridge,9593,256,0.0647347023871573,3.922028401489934,6.126763918934463,0.2947938768946859,-0.1133545167069036
2014,xgb,XGBoost,9593,256,0.0647347023871573,3.356183079769835,4.744763205896855,0.5924574430045089,0.3322709520401812
2014,catboost,CatBoost,9593,256,0.0647347023871573,3.367293734254906,4.656026169643955,0.631720743959936,0.3570132723615448
2014,rf,Random Forest,9593,256,0.0647347023871573,3.2740691711307743,4.887378624510825,0.6169133680725093,0.2915272457014111
2014,ftt,FT-Transformer,9593,256,0.0647347023871573,3.4168284807819873,4.9804551664315095,0.5948002264149715,0.264285605757405
2014,stack,Stacked Ensemble,9593,256,0.0647347023871573,3.2657217656604502,4.8405745251222685,0.6211363307036961,0.3050316846673668
2014,pick_bin,Pick-Bin Baseline,9593,256,0.0647347023871573,3.6257893908913097,5.721506274709471,0.6166974978940707,0.0290610125468855
