player_id,player,position,latest_team,last_year,career_years,interceptions_int,interceptions_td,interceptions_yds,passing_att,passing_completions,passing_int,passing_td,passing_yds,puntreturns_no,puntreturns_td,puntreturns_yds,rushing_car,rushing_td,rushing_yds,receiving_rec,receiving_td,receiving_yds,kicking_fga,kicking_fgm,kicking_pts,kicking_xpa,kicking_xpm,kickreturns_no,kickreturns_td,kickreturns_yds,punting_in_20,punting_no,punting_tb,punting_yds,defensive_pd,defensive_qb_hur,defensive_sacks,defensive_solo,defensive_td,defensive_tfl,defensive_tot,fumbles_fum,fumbles_lost,fumbles_rec,puntreturns_long,rushing_long,receiving_long,kicking_long,kickreturns_long,punting_long,passing_pct,passing_ypa,receiving_ypr,rushing_ypc,kicking_pct,punting_ypp,kickreturns_avg,puntreturns_avg,interceptions_avg
4430838,Rylie Mills,DL,Notre Dame,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,52.0,0.0,23.5,122.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4430869,Sean Tucker,DB,Towson,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4430871,Sean Tucker,RB,Syracuse,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,27.0,3192.0,63.0,4.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,,60.0,72.0,,,,,,9.73015873015873,5.410169491525424,,,,,
4430876,Roger Rosengarten,OL,Washington,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4430878,Jaxon Smith-Njigba,WR,Ohio State,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,74.0,0.0,0.0,0.0,110.0,10.0,1698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21.0,,75.0,,,,,,15.436363636363636,,,,,7.4,
4430925,Jahdae Barron,DB,Texas,2024,5,8.0,1.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,132.0,2.0,18.5,210.0,0.0,0.0,4.0,2.0,,,,,,,,,,,,,,18.5
4430947,Yahya Black,DL,Iowa,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.5,51.0,0.0,13.5,115.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4430965,Carrington Valentine,DB,Kentucky,2022,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,86.0,0.0,2.5,116.0,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0
4430968,Kimani Vidal,RB,Troy,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,33.0,4015.0,92.0,1.0,701.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,7.0,7.0,0.0,,69.0,44.0,,10.0,,,,7.619565217391305,5.154043645699615,,,5.0,,
4431005,Xavier Watts,S,Notre Dame,2024,4,13.0,1.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,1.5,114.0,1.0,8.5,181.0,0.0,0.0,2.0,,,,,,,,,,,,,,,21.0
4431006,Caelen Carson,DB,Wake Forest,2023,4,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,86.0,0.0,2.5,113.0,0.0,0.0,2.0,,,,,,,,,,,,,,,10.0
4431118,Ty Hamilton,DT,Ohio State,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,43.0,0.0,13.0,113.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4431142,Jimmy Holiday,WR,Louisiana Tech,2024,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4.0,188.0,66.0,5.0,913.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,1.0,1.0,,29.0,53.0,,34.0,,0.0,0.0,13.833333333333334,3.836734693877551,,,20.45,,
4431194,Billy Bowman,DB,Oklahoma,2024,4,11.0,3.0,251.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,186.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,120.0,4.0,8.0,191.0,2.0,0.0,5.0,0.0,,,,26.0,,,,,,,,15.5,-2.0,22.818181818181817
4431210,Beaux Collins,WR,Notre Dame,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,14.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,69.0,,,,,,13.484848484848484,,,,,,
4431212,Junior Colson,LB,Michigan,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.5,102.0,0.0,8.5,229.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
4431214,Hayden Conner,OL,Texas,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
