player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426344,Andrew Booth Jr.,Clemson,ACC,2021,2022,42,Cornerback,5.0,0.0,0.0,26.0,0.0,3.0,37.0,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426347,Mazi Smith,Michigan,Big Ten,2020,2023,26,Defensive Tackle,0.0,0.0,0.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426347,Mazi Smith,Michigan,Big Ten,2021,2023,26,Defensive Tackle,3.0,3.0,0.0,15.0,0.0,2.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426347,Mazi Smith,Michigan,Big Ten,2022,2023,26,Defensive Tackle,0.0,1.0,1.0,21.0,0.0,3.0,44.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426348,Jayden Daniels,Arizona State,Pac-12,2019,2024,2,Quarterback,,,,,,,,4.0,2.0,0.0,,,,,,,,,,,,,,,,,338.0,205.0,2.0,0.607,17.0,2943.0,8.7,,,,,,,,,,,,,,,,,125.0,27.0,3.0,355.0,2.8
4426348,Jayden Daniels,Arizona State,Pac-12,2020,2024,2,Quarterback,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,84.0,49.0,1.0,0.583,5.0,701.0,8.3,,,,,,,,,,,,,,,,,33.0,53.0,4.0,223.0,6.8
4426348,Jayden Daniels,Arizona State,Pac-12,2021,2024,2,Quarterback,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,301.0,197.0,10.0,0.654,10.0,2380.0,7.9,,,,,,,,,,,,,,,,,138.0,51.0,6.0,710.0,5.1
4426348,Jayden Daniels,LSU,SEC,2022,2024,2,Quarterback,,,,,,,,4.0,3.0,0.0,,,,,,,,,,,,,,,,,388.0,266.0,3.0,0.686,17.0,2913.0,7.5,,,,,,,,,,,,5.0,1.0,1.0,5.0,5.0,186.0,37.0,11.0,885.0,4.8
4426348,Jayden Daniels,LSU,SEC,2023,2024,2,Quarterback,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,327.0,236.0,4.0,0.722,40.0,3812.0,11.7,,,,,,,,,,,,,,,,,135.0,85.0,10.0,1134.0,8.4
4426349,Travon Walker,Georgia,SEC,2019,2022,1,Defensive End,1.0,1.0,2.5,9.0,0.0,3.5,15.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
