trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,approx_pick_value_points,selected_player_id,selected_player_name,description
719,2002,2002-04-20,DAL,CHI,2002,4.0,104.0,False,90.51292627308231,BrowAl20,Alex Brown,2002 R4 #104 (Alex Brown)
719,2002,2002-04-20,CHI,DAL,2002,4.0,129.0,False,42.427384008372805,MartJa01,Jamar Martin,2002 R4 #129 (Jamar Martin)
719,2002,2002-04-20,DAL,CHI,2002,5.0,140.0,False,36.610195369494626,GrayBo20,Bobby Gray,2002 R5 #140 (Bobby Gray)
720,2002,2002-04-20,CAR,CIN,2002,3.0,67.0,False,249.44014354004796,SchoMa00,Matt Schobel,2002 R3 #67 (Matt Schobel)
720,2002,2002-04-20,CIN,CAR,2002,3.0,73.0,False,212.89796732125947,WithWi20,Will Witherspoon,2002 R3 #73 (Will Witherspoon)
720,2002,2002-04-20,CIN,CAR,2002,5.0,145.0,False,34.23663262695757,JohnKy00,Kyle Johnson,2002 R5 #145 (Kyle Johnson)
721,2002,2002-04-20,JAX,CLE,2002,3.0,76.0,False,196.6862945481459,FowlMe20,Melvin Fowler,2002 R3 #76 (Melvin Fowler)
721,2002,2002-04-20,CLE,JAX,2002,3.0,79.0,False,181.70910201648016,BaumRa20,Rashad Bauman,2002 R3 #79 (Rashad Bauman)
722,2002,2002-04-20,JAX,WAS,2002,3.0,79.0,False,181.70910201648016,BaumRa20,Rashad Bauman,2002 R3 #79 (Rashad Bauman)
722,2002,2002-04-20,WAS,JAX,2002,3.0,89.0,False,139.54639691441523,AyodAk20,Akin Ayodele,2002 R3 #89 (Akin Ayodele)
722,2002,2002-04-20,WAS,JAX,2002,4.0,118.0,False,58.63442692465892,LuzaCh00,Chris Luzar,2002 R4 #118 (Chris Luzar)
723,2002,2002-04-20,BAL,DEN,2002,3.0,96.0,False,116.0,DaviDo23,Dorsett Davis,2002 R3 #96 (Dorsett Davis)
723,2002,2002-04-20,DEN,BAL,2002,4.0,112.0,False,70.6257743320383,ZastDa20,Dave Zastudil,2002 R4 #112 (Dave Zastudil)
723,2002,2002-04-20,DEN,BAL,2002,5.0,155.0,False,29.941188478294087,JoneTe00,Terry Jones,2002 R5 #155 (Terry Jones)
724,2002,2002-04-21,HOU,ATL,2002,4.0,116.0,False,62.38634329516793,BiblMa20,Martin Bibla,2002 R4 #116 (Martin Bibla)
724,2002,2002-04-21,ATL,HOU,2003,3.0,88.0,False,143.2796239373333,RagoDa00,Dave Ragone,2003 R3 #88 (Dave Ragone)
