model,model_key,n_predictions,mae,rmse,r2,spearman,mean_yearly_rmse,mean_yearly_r2
CatBoost,catboost,3836,3.0976142023043294,4.289828696158086,0.40493490569796153,0.6227459554518571,4.278596602696781,0.4046230923662853
XGBoost,xgboost,3836,3.109666938671106,4.3096629016384105,0.3994195673456461,0.6140138617690628,4.298666959386961,0.3993256844022556
Pick-Bin Baseline,pick_bin,3836,3.080711481514052,4.390929836577233,0.3765558260982952,0.605861611010943,4.382674947323979,0.37460480371816374
MLP Neural Net,mlp,3836,3.451751838607799,5.269502987410911,0.10210844695266419,0.46267774246513654,5.228763771000156,0.10261961420902471
Spline Ridge,spline,3836,3.4749809042879973,5.94593316324537,-0.14320633398108495,0.5812422364460506,5.3668675407806905,-0.2095977774694481
