feature,importance
pick,43.52097657727178
round,18.16900365943486
board_round,4.6841111115697815
age,2.4877128361094187
board_pre_draft_ranking,2.0914266591326647
context_draft_position_group,1.9252083563998004
position,1.8193287126156534
board_pre_draft_position_ranking,1.7363560006095524
position_group,1.6024870855716928
category,1.4893878764240633
cfb_rushing_yds,1.142154097211459
cfb_rushing_car,1.1166728202076213
board_weight,0.9091901956745346
board_pre_draft_grade,0.8646235916386926
cfb_rushing_long,0.8313093467512817
side,0.7351213002055513
cfb_rushing_td,0.6361189901193073
cfb_passing_yds,0.5770800205330097
cfb_conference,0.5439801777042893
cfb_puntreturns_yds,0.5183190955100209
board_college_conference,0.5147250387178025
cfb_passing_td,0.47100126943572074
board_height,0.4437126061116048
cfb_passing_pct,0.4003266723559915
