iter	Passed	Remaining
0	5	2765
1	9	2345
2	12	2126
3	15	1872
4	17	1699
5	19	1599
6	21	1524
7	23	1447
8	25	1412
9	28	1393
10	30	1357
11	32	1337
12	35	1314
13	37	1299
14	39	1274
15	41	1260
16	44	1254
17	46	1249
18	49	1243
19	50	1220
20	52	1202
21	55	1199
22	56	1178
23	58	1169
24	61	1167
25	63	1160
26	65	1154
27	67	1143
28	70	1138
29	72	1132
30	75	1138
31	77	1131
32	79	1126
33	82	1133
34	84	1125
35	87	1122
36	89	1114
37	91	1111
38	94	1113
39	96	1108
40	99	1110
41	101	1106
42	103	1104
43	106	1104
44	108	1100
45	110	1094
46	113	1096
47	115	1092
48	117	1085
49	120	1082
50	122	1076
51	124	1070
52	126	1069
53	129	1067
54	131	1060
55	133	1056
56	135	1054
57	137	1049
58	139	1045
59	142	1044
60	144	1038
61	146	1036
62	149	1033
63	151	1030
64	152	1019
65	154	1015
66	156	1010
67	158	1007
68	161	1009
69	164	1007
70	166	1005
71	168	1003
72	171	1004
73	173	1001
74	176	999
75	178	997
76	181	994
77	183	994
78	186	993
79	188	990
80	191	988
81	192	983
82	194	979
83	197	978
84	199	974
85	202	975
86	205	975
87	207	972
88	209	969
89	213	971
90	215	968
91	216	960
92	219	958
93	221	954
94	223	950
95	225	947
96	227	943
97	229	940
98	231	938
99	233	935
100	236	933
101	238	930
102	240	926
103	242	924
104	245	922
105	247	920
106	249	916
107	252	914
108	254	912
109	256	909
110	258	906
111	261	904
112	263	901
113	265	897
114	267	895
115	269	893
116	272	891
117	274	888
118	276	886
119	278	882
120	280	879
121	282	875
122	284	872
123	287	871
124	289	868
125	291	865
126	294	865
127	297	863
128	299	861
129	301	859
130	303	855
131	306	854
132	308	852
133	311	851
134	313	848
135	315	845
136	318	842
137	320	840
138	322	837
139	324	834
140	326	832
141	328	829
142	330	825
143	332	822
144	334	819
145	336	815
146	338	812
147	340	810
148	342	807
149	345	806
150	347	803
151	349	800
152	351	798
153	354	797
154	355	791
155	357	788
156	360	786
157	361	781
158	361	776
159	362	771
160	366	770
161	368	768
162	370	766
163	372	763
164	375	761
165	377	758
166	379	757
167	381	754
168	383	751
169	385	748
170	387	745
171	389	742
172	391	740
173	394	738
174	396	736
175	399	735
176	401	733
177	403	730
178	405	726
179	407	724
180	409	721
181	411	718
182	412	714
183	414	711
184	416	709
185	418	706
186	419	702
187	422	700
188	424	698
189	426	695
190	428	693
191	430	691
192	433	689
193	435	686
194	437	684
195	439	682
196	442	680
197	444	677
198	446	675
199	448	673
200	451	672
201	454	670
202	456	668
203	458	665
204	460	662
205	462	660
206	465	659
207	467	656
208	469	654
209	471	651
210	474	649
211	476	647
212	478	645
213	481	642
214	483	640
215	486	639
216	488	636
217	490	634
218	493	632
219	495	630
220	498	629
221	501	627
222	503	625
223	506	624
224	508	621
225	511	620
226	514	618
227	516	616
228	519	614
229	521	611
230	523	609
231	525	607
232	527	604
233	530	602
234	532	600
235	534	598
236	537	596
237	539	593
238	541	591
239	544	589
240	547	587
241	548	585
242	551	582
243	553	580
244	555	577
245	557	576
246	560	573
247	563	572
248	565	570
249	567	567
250	570	565
251	573	563
252	576	562
253	578	560
254	580	558
255	583	555
256	585	553
257	587	551
258	589	548
259	591	546
260	594	543
261	596	541
262	598	539
263	600	536
264	603	534
265	605	532
266	607	530
267	608	527
268	611	525
269	614	523
270	616	521
271	619	519
272	621	516
273	623	514
274	627	513
275	629	510
276	631	508
277	633	505
278	635	503
279	637	500
280	639	498
281	641	496
282	643	493
283	646	491
284	649	489
285	650	487
286	653	484
287	655	482
288	657	480
289	659	477
290	661	475
291	663	472
292	665	470
293	667	467
294	669	465
295	672	463
296	674	460
297	676	458
298	679	456
299	681	454
300	683	451
301	686	449
302	688	447
303	690	445
304	692	442
305	694	440
306	696	437
307	698	435
308	701	433
309	703	431
310	706	429
311	708	427
312	710	424
313	712	422
314	715	420
315	717	417
316	719	415
317	721	412
318	723	410
319	726	408
320	728	406
321	731	404
322	733	402
323	735	399
324	738	397
325	740	395
326	743	393
327	745	391
328	747	388
329	750	386
330	753	384
331	755	382
332	757	380
333	759	377
334	762	375
335	764	373
336	767	371
337	769	368
338	772	366
339	774	364
340	776	362
341	778	359
342	781	357
343	783	355
344	785	352
345	787	350
346	789	348
347	791	345
348	793	343
349	795	340
350	797	338
351	799	335
352	801	333
353	803	331
354	806	329
355	808	327
356	810	324
357	813	322
358	815	320
359	817	317
360	819	315
361	821	313
362	823	310
363	826	308
364	828	306
365	830	304
366	832	301
367	834	299
368	836	296
369	838	294
370	841	292
371	843	290
372	845	287
373	847	285
374	849	283
375	851	280
376	854	278
377	856	276
378	858	273
379	860	271
380	862	269
381	865	267
382	867	264
383	869	262
384	871	260
385	873	257
386	875	255
387	878	253
388	880	251
389	883	249
390	885	246
391	887	244
392	889	242
393	891	239
394	893	237
395	895	235
396	897	232
397	899	230
398	901	228
399	903	225
400	905	223
401	908	221
402	909	218
403	912	216
404	915	214
405	917	212
406	920	210
407	922	207
408	924	205
409	926	203
410	928	201
411	930	198
412	932	196
413	934	194
414	937	191
415	939	189
416	941	187
417	945	185
418	947	183
419	949	180
420	952	178
421	954	176
422	957	174
423	959	172
424	961	169
425	964	167
426	966	165
427	968	162
428	971	160
429	973	158
430	975	156
431	977	153
432	980	151
433	983	149
434	985	147
435	987	145
436	989	142
437	991	140
438	994	138
439	996	135
440	998	133
441	1000	131
442	1002	129
443	1004	126
444	1007	124
445	1008	122
446	1010	119
447	1012	117
448	1014	115
449	1016	112
450	1018	110
451	1020	108
452	1022	106
453	1024	103
454	1026	101
455	1029	99
456	1030	96
457	1032	94
458	1034	92
459	1037	90
460	1039	87
461	1041	85
462	1043	83
463	1046	81
464	1048	78
465	1050	76
466	1053	74
467	1055	72
468	1059	70
469	1061	67
470	1063	65
471	1065	63
472	1066	60
473	1069	58
474	1072	56
475	1074	54
476	1076	51
477	1078	49
478	1080	47
479	1083	45
480	1084	42
481	1086	40
482	1089	38
483	1091	36
484	1093	33
