iter	RMSE
178	4.147646467
179	4.146573653
180	4.145615267
181	4.144617881
182	4.144530748
183	4.143727943
184	4.143260852
185	4.140996545
186	4.14087031
187	4.138148084
188	4.137895358
189	4.13760922
190	4.137476196
191	4.13719857
192	4.135560526
193	4.13316108
194	4.133036741
195	4.132556757
196	4.131734844
197	4.129991772
198	4.128728236
199	4.127913997
200	4.127021871
201	4.126541783
202	4.126372166
203	4.126261322
204	4.125169054
205	4.12156639
206	4.118941384
207	4.117285182
208	4.116375924
209	4.114490283
210	4.111727718
211	4.109894449
212	4.108871789
213	4.106683249
214	4.106611982
215	4.104192479
216	4.103452302
217	4.103128025
218	4.101831408
219	4.099740985
220	4.098839485
221	4.096524376
222	4.094445424
223	4.09417889
224	4.093995104
225	4.093877304
226	4.091998361
227	4.089803263
228	4.087566172
229	4.085314043
230	4.08516665
231	4.083499107
232	4.083249746
233	4.083096056
234	4.080848791
235	4.078329962
236	4.078236997
237	4.076083413
238	4.074219538
239	4.071803626
240	4.069257969
241	4.066893427
242	4.064612542
243	4.0619
244	4.06069562
245	4.058378698
246	4.057392588
247	4.052726635
248	4.049536521
249	4.048170298
250	4.045272579
251	4.044424344
252	4.039974996
253	4.038390199
254	4.035760039
255	4.034288074
256	4.03310048
257	4.030282572
258	4.029358922
259	4.027476293
260	4.024313533
261	4.023892445
262	4.021058108
263	4.020978319
264	4.018100084
265	4.016755476
266	4.014178952
267	4.012499363
268	4.009340532
269	4.009102355
270	4.006320456
271	4.004054573
272	4.002899394
273	4.00179641
274	3.99931918
275	3.997388953
276	3.994582867
277	3.992892614
278	3.992744103
279	3.990331133
280	3.989562643
281	3.985917701
282	3.985267837
283	3.983580461
284	3.982617997
285	3.979549163
286	3.976938876
287	3.976133738
288	3.973718923
289	3.971124218
290	3.970807928
291	3.97006736
292	3.968457811
293	3.966838895
294	3.964715648
295	3.96460489
296	3.963575823
297	3.962639483
298	3.960830262
299	3.95853322
300	3.957446776
301	3.955830063
302	3.955565568
303	3.954480284
304	3.953335821
305	3.951219408
306	3.94637869
307	3.942954405
308	3.941748683
309	3.938970562
310	3.935627202
311	3.93279728
312	3.930407845
313	3.928212893
314	3.92604027
315	3.923284021
316	3.922604344
317	3.920889609
318	3.918914392
319	3.916051285
320	3.913356344
321	3.912193545
322	3.910676785
323	3.910589096
324	3.908224242
325	3.906462237
326	3.905509617
327	3.904937953
328	3.903541023
329	3.902740479
330	3.899493108
331	3.898440291
332	3.898295016
333	3.897162675
334	3.896782954
335	3.895849997
336	3.89576767
337	3.895433715
338	3.893874021
339	3.893533129
340	3.89152522
341	3.890012741
342	3.889740802
343	3.889122356
344	3.888683133
345	3.887533176
346	3.885322577
347	3.883686175
348	3.883115909
349	3.881305268
350	3.879466478
351	3.878942344
352	3.877797568
353	3.876578034
354	3.875897856
355	3.874025767
356	3.873262438
357	3.870928924
358	3.869767893
359	3.868479893
360	3.867171407
361	3.866740555
362	3.865659594
363	3.863132826
364	3.86131294
365	3.860834121
366	3.858974225
367	3.857648296
368	3.857360713
369	3.856570366
370	3.856131021
371	3.853822771
372	3.852460659
373	3.85021689
374	3.84983123
375	3.847510586
376	3.846442248
377	3.84540138
378	3.844737658
379	3.843665117
380	3.843578236
381	3.842145921
382	3.840765893
383	3.839366835
384	3.838943921
385	3.838380151
386	3.836615217
387	3.836036042
388	3.833955967
389	3.831322625
390	3.829494473
391	3.82854717
392	3.826506765
393	3.824372025
394	3.822989738
395	3.822456644
396	3.821280397
397	3.821177213
398	3.820447504
399	3.818294401
400	3.815734596
401	3.815306521
402	3.813650227
403	3.809740594
404	3.807649013
405	3.806458125
406	3.805828024
407	3.804085849
408	3.802445151
409	3.801065171
410	3.799587488
411	3.798950847
412	3.796911976
413	3.796200261
414	3.793563193
415	3.792044173
416	3.791026185
417	3.789413831
418	3.78805773
419	3.787754322
420	3.786716669
421	3.786047464
422	3.783603033
423	3.782853619
424	3.781136121
425	3.780025352
426	3.777791525
427	3.77558056
428	3.774465405
429	3.774363435
430	3.773003465
431	3.772788174
432	3.771431443
433	3.770682121
434	3.7695378
435	3.768149743
436	3.766899841
437	3.766130226
438	3.765129207
439	3.763943866
440	3.762953679
441	3.761643873
442	3.760273124
443	3.759454284
444	3.758653482
445	3.758021781
446	3.7564431
447	3.755921522
448	3.754918113
449	3.753276164
450	3.75242141
451	3.751010629
452	3.749287042
453	3.748079144
454	3.746234648
455	3.745805
456	3.745118125
457	3.742831743
458	3.741993686
459	3.74127472
460	3.739665533
461	3.737669288
462	3.736795746
463	3.736285349
464	3.735929784
465	3.735673724
466	3.734807873
467	3.733226869
468	3.732815544
469	3.731795937
470	3.728949135
471	3.72885445
472	3.727580712
473	3.72621092
474	3.724530381
475	3.722441759
476	3.722164908
477	3.720784304
478	3.719724024
479	3.71921701
480	3.718067175
481	3.717072368
482	3.71578682
483	3.715682681
484	3.714943053
485	3.713613947
486	3.712167056
487	3.710050013
488	3.708199317
489	3.706790777
490	3.705780124
491	3.703491572
492	3.702827597
493	3.702126275
494	3.7018848
495	3.69969497
496	3.698242981
497	3.69739211
498	3.695476269
499	3.695424032
