year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,spline,8577,255,3.958888814034743,6.180518467845666,0.4371591656769125,-0.3656232611377852
2010,xgb,8577,255,3.07372965693346,4.493785832128983,0.5330828306751044,0.2780521455167343
2010,catboost,8577,255,3.075331204116694,4.4272560042984646,0.5604105638415768,0.2992705666258083
2010,rf,8577,255,3.008381575776898,4.495198876465963,0.5652203612178774,0.27759804968099244
2010,ftt,8577,255,3.0353319442315505,4.672034240312073,0.5445876384353012,0.21964337339283246
2010,stack,8577,255,2.9924205263331918,4.463200356066242,0.5671332428785041,0.2878461035314436
2010,pick_bin,8577,255,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.044679259722244735
2015,spline,9849,256,4.10107397744609,6.351357600559742,0.39673210119724867,-0.31086828991894455
2015,xgb,9849,256,3.1927834061423255,4.591130549393428,0.5798787750746379,0.31503999881341926
2015,catboost,9849,256,3.202778148184424,4.583670113099158,0.5803237860898788,0.3172642651571337
2015,rf,9849,256,3.1745613594281084,4.707208599337714,0.5915343858969612,0.2799663125298134
2015,ftt,9849,256,3.1706743699870463,4.6775182179808095,0.5771926299761263,0.2890207888644659
2015,stack,9849,256,3.146150784031228,4.616915552171346,0.5910434026694023,0.307324560657957
2015,pick_bin,9849,256,3.519697451655406,5.437378452309786,0.5776001912931042,0.039261818867196374
2020,spline,11121,255,4.236060447665588,6.486917086228627,0.39337944839155714,-0.25835400458520463
2020,xgb,11121,255,3.139080821532829,4.751633203046812,0.5826856199640597,0.3248318321066581
2020,catboost,11121,255,3.1965155015576268,4.733390230526715,0.5695161137685745,0.33000623396010487
2020,rf,11121,255,3.2529420882172055,5.001935872378516,0.5658869006486801,0.25182639815332775
2020,ftt,11121,255,3.2211010699563483,4.930632752032357,0.5596309468068168,0.2730049495715713
2020,stack,11121,255,3.2094804361433678,4.868116764159476,0.5719649375598621,0.2913233646676754
2020,pick_bin,11121,255,3.717970722047137,5.687626440771704,0.5522494803141844,0.03263967663076439
2024,spline,12156,257,3.915140504786051,5.846756053805402,0.4771044809841309,-0.12534478347947675
2024,xgb,12156,257,2.985442188695247,4.253577280894218,0.5987728220689319,0.40438680628671
2024,catboost,12156,257,2.99924490053209,4.105188161173068,0.6078905937396737,0.445218730924717
2024,rf,12156,257,2.983001011675142,4.273139028546848,0.6245131254773872,0.3988958862372869
2024,ftt,12156,257,3.0134143109617018,4.369289122372054,0.6141332467535066,0.3715406075125267
2024,stack,12156,257,2.972467748470546,4.155950797043473,0.6189931131553346,0.43141362490041735
2024,pick_bin,12156,257,3.39580782564732,4.991037601857028,0.6131897421898097,0.1799556556879075
