Year,Team,PlayerID,Player,Position,AV
2023,cle,AdamMa00,Matthew Adams,LB,2
2023,cle,AkinJo00,Jordan Akins,TE,1
2023,cle,BellDA03,D'Anthony Bell,S,3
2023,cle,BellDa02,David Bell,WR,1
2023,cle,BitoJo00,Joel Bitonio,G,7
2023,cle,BojoCo00,Corey Bojorquez,P,3
2023,cle,BryaHa00,Harrison Bryant,TE,1
2023,cle,ChriGe01,Geron Christian,T,4
2023,cle,ChubNi00,Nick Chubb,RB,1
2023,cle,ConkJa00,Jack Conklin,T,0
2023,cle,CoopAm00,Amari Cooper,WR,10
2023,cle,DardJa00,Jaelon Darden,WR,0
2023,cle,DelpGr00,Grant Delpit,S,6
2023,cle,DiabMo00,Mohamoud Diabate,LB,2
2023,cle,DrisJe00,Jeff Driskel,QB,1
2023,cle,DunnMi01,Michael Dunn,G,1
2023,cle,ElliJo02,Jordan Elliott,DT,8
2023,cle,EmerMa00,Martin Emerson,CB,6
2023,cle,FielTo00,Tony Fields,LB,4
2023,cle,FlacJo00,Joe Flacco,QB,5
2023,cle,FordJe00,Jerome Ford,RB,6
2023,cle,FordMi01,Mike Ford,LB,2
2023,cle,GarrMy00,Myles Garrett,DE,20
2023,cle,GoodMa00,Marquise Goodwin,WR,1
2023,cle,GrayVi00,Vincent Gray,DB,0
2023,cle,GreeAJ00,A.J. Green,CB,0
2023,cle,HaacMa00,Matt Haack,P,0
2023,cle,HailKa00,Kahlef Hailassie,CB,1
2023,cle,HarmDu00,Duron Harmon,S,1
2023,cle,HarrNi01,Nick Harris,C,2
2023,cle,HarrSh00,Shelby Harris,DT,4
2023,cle,HickRo00,Ronnie Hickman,S,3
2023,cle,HopkDu00,Dustin Hopkins,K,4
2023,cle,HudsJa00,James Hudson,T,3
2023,cle,HughCh01,Charley Hughlett,LS,1
2023,cle,HuntKa00,Kareem Hunt,RB,3
2023,cle,HursMa00,Maurice Hurst Jr.,DT,2
2023,cle,IkaxSi00,Siaki Ika,DT,0
2023,cle,JackDe02,Deon Jackson,RB,0
2023,cle,JoneDa07,Dawand Jones,T,4
2023,cle,KamaSa00,Sam Kamara,DE,0
2023,cle,KellJo00,John Kelly,RB,0
2023,cle,KunaJo00,Jordan Kunaszyk,LB,0
2023,cle,McCaTa00,Tanner McCalister,S,0
2023,cle,McGuIs00,Isaiah McGuire,DE,1
2023,cle,McLeRo00,Rodney McLeod,S,2
2023,cle,MitcCa01,Cameron Mitchell,CB,2
2023,cle,MoorEl00,Elijah Moore,WR,5
2023,cle,NewsGr00,Greg Newsome II,CB,6
2023,cle,NjokDa00,David Njoku,TE,7
2023,cle,NsekTy00,Ty Nsekhe,T,0
2023,cle,OkorOg00,Ogbonnia Okoronkwo,DE,2
2023,cle,OwusJe00,Jeremiah Owusu-Koramoah,LB,11
2023,cle,PattRi01,Riley Patterson,K,0
2023,cle,PeopDo00,Donovan Peoples-Jones,WR,1
2023,cle,PociEt00,Ethan Pocic,C,5
2023,cle,ProcJa00,James Proche,WR,0
2023,cle,SmitZa00,Za'Darius Smith,DE,9
2023,cle,StroPi00,Pierre Strong,RB,2
2023,cle,TakiSi00,Sione Takitaki,RLB/MLB,5
2023,cle,TellWy00,Wyatt Teller,G,7
2023,cle,ThomCh02,Charlie Thomas,LB,0
2023,cle,ThomDo02,Dorian Thompson-Robinson,QB,1
2023,cle,ThorJu00,Juan Thornhill,S,4
2023,cle,TillCe01,Cedric Tillman,WR,2
2023,cle,TomlDa00,Dalvin Tomlinson,DT,8
2023,cle,WalkAn01,Anthony Walker,MLB,7
2023,cle,WalkPh00,P.J. Walker,QB,2
2023,cle,WardDe02,Denzel Ward,CB,9
2023,cle,WatsDe00,Deshaun Watson,QB,4
2023,cle,WatsLe00,Leroy Watson,T,0
2023,cle,WillJe04,Jedrick Wills Jr.,T,3
2023,cle,WrigAl01,Alex Wright,DE,3
2023,cle,WyplLu00,Luke Wypler,C,1
2023,rav,AdamAn00,Andrew Adams,S,0
2023,rav,AghoNe00,Nelson Agholor,WR,4
2023,rav,AndrMa00,Mark Andrews,TE,6
2023,rav,ArmoJa00,Jalyn Armour-Davis,CB,0
2023,rav,BateRa00,Rashod Bateman,WR,4
2023,rav,BeckOd00,Odell Beckham Jr.,WR,6
2023,rav,ChisDa00,Dan Chisena,WR,0
2023,rav,ClevBe00,Ben Cleveland,G,2
2023,rav,ClowJa00,Jadeveon Clowney,OLB,8
2023,rav,CookDa01,Dalvin Cook,RB,0
2023,rav,CunnMa00,Malik Cunningham,QB,0
2023,rav,DarbRo00,Ronald Darby,LCB,3
2023,rav,DobbJK00,J.K. Dobbins,RB,0
2023,rav,DrakKe00,Kenyan Drake,RB,0
2023,rav,DuveDe00,Devin Duvernay,WR,0
2023,rav,EdwaGu00,Gus Edwards,RB,7
2023,rav,FaalDa00,Daniel Faalele,T,1
2023,rav,FlowZa00,Zay Flowers,WR,9
2023,rav,GordMe00,Melvin Gordon,RB,1
2023,rav,HamiKy00,Kyle Hamilton,S,13
2023,rav,HarrMa06,Malik Harrison,LB,4
2023,rav,HillJu00,Justice Hill,RB,5
2023,rav,HousDe00,DeAndre Houston-Carson,S,0
2023,rav,HumpMa00,Marlon Humphrey,CB,4
2023,rav,HuntTy01,Tyler Huntley,QB,1
