Year,Team,PlayerID,Player,Position,AV
2024,cle,AkinJo00,Jordan Akins,TE,2
2024,cle,AnusCh00,Chigozie Anusiem,CB,0
2024,cle,BateBr00,Brenden Bates,TE,0
2024,cle,BellDA03,D'Anthony Bell,S,1
2024,cle,BellDa02,David Bell,WR,0
2024,cle,BitoJo00,Joel Bitonio,LG,5
2024,cle,BojoCo00,Corey Bojorquez,P,5
2024,cle,BrigJo00,Jowon Briggs,DT,1
2024,cle,BrigGa00,Gary Brightwell,RB,0
2024,cle,BrowTo01,Tony Brown,DB,0
2024,cle,BushDe01,Devin Bush Jr.,LLB,5
2024,cle,ChriGe01,Geron Christian,OT,0
2024,cle,ChubNi00,Nick Chubb,RB,2
2024,cle,CoheJa00,Javion Cohen,G,0
2024,cle,ConkJa00,Jack Conklin,RT,3
2024,cle,CoopAm00,Amari Cooper,WR,1
2024,cle,DardJa00,Jaelon Darden,WR,0
2024,cle,DaviKa02,Kaden Davis,WR,0
2024,cle,DelpGr00,Grant Delpit,SS,6
2024,cle,DiabMo00,Mohamoud Diabate,RLB,5
2024,cle,DunnMi01,Michael Dunn,G,1
2024,cle,DwumMi00,Michael Dwumfour,DT,0
2024,cle,EdmoCh01,Chris Edmonds,DB,0
2024,cle,EmerMa00,Martin Emerson,RCB,5
2024,cle,FielTo00,Tony Fields,LB,0
2024,cle,FordJe00,Jerome Ford,RB,4
2024,cle,FordMi01,Mike Ford,CB,1
2024,cle,ForeDO00,D'Onta Foreman,RB,1
2024,cle,GarrMy00,Myles Garrett,RDE,17
2024,cle,HailKa00,Kahlef Hailassie,CB,0
2024,cle,HallMi00,Michael Hall,DT,2
2024,cle,HardMy00,Myles Harden,CB,0
2024,cle,HarrNi01,Nick Harris,C,1
2024,cle,HarrSh00,Shelby Harris,RDT,5
2024,cle,HickRo00,Ronnie Hickman,S,2
2024,cle,HickJo00,Jordan Hicks,LB,5
2024,cle,HopkDu00,Dustin Hopkins,K,0
2024,cle,HousJa01,James Houston,DE,0
2024,cle,HudsJa00,James Hudson,T,1
2024,cle,HudsKh00,Khaleke Hudson,OLB,1
2024,cle,HughCh01,Charley Hughlett,LS,0
2024,cle,HursMa00,Maurice Hurst Jr.,DT,1
2024,cle,IfedGe00,Germain Ifedi,LT,2
2024,cle,JeffQu00,Quinton Jefferson,DT,0
2024,cle,JeudJe00,Jerry Jeudy,WR,7
2024,cle,JoneDa07,Dawand Jones,T,2
2024,cle,KamaSa00,Sam Kamara,DE,1
2024,cle,KiboJa00,Jacob Kibodi,RB,0
2024,cle,McGiT.00,T.Y. McGill,DT,0
2024,cle,McGuIs00,Isaiah McGuire,DE,2
2024,cle,McLeRo00,Rodney McLeod,S,3
2024,cle,MitcCa01,Cameron Mitchell,CB,1
2024,cle,MoorEl00,Elijah Moore,WR,3
2024,cle,NewsGr00,Greg Newsome II,CB,2
2024,cle,NjokDa00,David Njoku,TE,3
2024,cle,OkorOg00,Ogbonnia Okoronkwo,DE,3
2024,cle,OwusJe00,Jeremiah Owusu-Koramoah,MLB,4
2024,cle,PattRi01,Riley Patterson,K,0
2024,cle,PociEt00,Ethan Pocic,C,4
2024,cle,ProcJa00,James Proche,WR,0
2024,cle,ReidWi01,Winston Reid,OLB,2
2024,cle,SmitEl00,Elerson Smith,DE,0
