Year,Team,PlayerID,Player,Position,AV
2020,cle,BeckOd00,Odell Beckham Jr.,WR,4
2020,cle,BentEl00,Elijah Benton,S,0
2020,cle,BitoJo00,Joel Bitonio,LG,11
2020,cle,BradJa01,Ja'Marcus Bradley,WR,1
2020,cle,BrowEv00,Evan Brown,C,0
2020,cle,BryaHa00,Harrison Bryant,TE,2
2020,cle,CarlSt00,Stephen Carlson,TE,0
2020,cle,ChubNi00,Nick Chubb,RB,9
2020,cle,ClayAd00,Adrian Clayborn,DE,2
2020,cle,ConkJa00,Jack Conklin,RT,15
2020,cle,DaviTa00,Tae Davis,LB,1
2020,cle,DunnMi01,Michael Dunn,T,0
2020,cle,ElliJo02,Jordan Elliott,DT,1
2020,cle,FabiAn00,Anthony Fabiano,T,0
2020,cle,GarrMy00,Myles Garrett,LDE,14
2020,cle,GillJa00,Jamie Gillan,P,1
2020,cle,GoodB.00,B.J. Goodson,MLB,6
2020,cle,GreeAJ00,A.J. Green,CB,0
2020,cle,GustPo01,Porter Gustin,DE,2
2020,cle,HallMa02,Marvin Hall,WR,0
2020,cle,HancBl00,Blake Hance,T,0
2020,cle,HarrNi01,Nick Harris,C,1
2020,cle,HarrRo02,Ronnie Harrison,SS,3
2020,cle,HiggRa00,Rashard Higgins,WR,6
2020,cle,HillDo00,Dontrell Hilliard,RB,0
2020,cle,HodgKh00,KhaDarel Hodge,WR,2
2020,cle,HoopAu00,Austin Hooper,TE,4
2020,cle,HubbCh00,Chris Hubbard,RG,3
2020,cle,HughCh01,Charley Hughlett,LS,1
2020,cle,HuntKa00,Kareem Hunt,RB,9
2020,cle,JackJo02,Joe Jackson,DE,0
2020,cle,JackRo00,Robert Jackson,DB,1
2020,cle,JanoAn00,Andy Janovich,RB,0
2020,cle,JohnDE04,D'Ernest Johnson,RB,1
2020,cle,JohnKe04,Kevin Johnson,RCB,2
2020,cle,JoseKa00,Karl Joseph,SS,3
2020,cle,KeenCa00,Case Keenum,QB,0
2020,cle,LammKe00,Kendall Lamm,T,2
2020,cle,LandJa00,Jarvis Landry,WR,9
2020,cle,LeexEl00,Elijah Lee,LB,1
2020,cle,MalvCa00,Cameron Malveaux,DE,0
2020,cle,MayfBa00,Baker Mayfield,QB,14
2020,cle,MeanMo00,Montrel Meander,DB,0
2020,cle,MitcTe00,Terrance Mitchell,RCB,5
2020,cle,MoffJo01,Jovante Moffatt,S,0
2020,cle,NatsJo00,Jojo Natson,WR,0
2020,cle,NjokDa00,David Njoku,TE,2
2020,cle,OgunLa00,Larry Ogunjobi,RDT,6
2020,cle,ParkCo03,Cody Parkey,K,3
2020,cle,PattJa00,Javon Patterson,C,0
2020,cle,PeopDo00,Donovan Peoples-Jones,WR,3
2020,cle,PhilJa01,Jacob Phillips,LB,2
2020,cle,RedwSh00,Sheldrick Redwine,DB,2
2020,cle,RichSh00,Sheldon Richardson,LDT,7
2020,cle,SeibAu00,Austin Seibert,K,0
2020,cle,SendAn00,Andrew Sendejo,FS,4
2020,cle,SmitMa02,Malcolm Smith,LB,3
2020,cle,StanJo02,Johnny Stanton,RB,0
2020,cle,StewM.00,M.J. Stewart,DB,1
2020,cle,TakiSi00,Sione Takitaki,RLB,5
2020,cle,TaylTa00,Taywan Taylor,WR,0
2020,cle,TaylVi00,Vincent Taylor,DT,2
2020,cle,TaylAl02,Alex Taylor-Prioleau,T,0
2020,cle,TellWy00,Wyatt Teller,RG,8
2020,cle,ThomTa01,Tavierre Thomas,DB,2
2020,cle,TretJC00,J.C. Tretter,C,9
2020,cle,VernOl00,Olivier Vernon,RDE,6
2020,cle,WardDe02,Denzel Ward,LCB,4
2020,cle,WillDe06,Derrick Willies,WR,0
2020,cle,WillJe04,Jedrick Wills Jr.,LT,8
2020,cle,WilsMa03,Mack Wilson,LLB,3
2020,rav,AdeoAa00,Aaron Adeoye,LB,0
2020,rav,AlakOt01,Otaro Alaka,LB,0
2020,rav,AndrMa00,Mark Andrews,TE,8
2020,rav,AverAn00,Anthony Averett,DB,2
2020,rav,BoarCh00,Chris Board,LB,2
2020,rav,BondTe00,Terrell Bonds,DB,1
2020,rav,BowsTy00,Tyus Bowser,LB,3
2020,rav,BoykMi00,Miles Boykin,WR,3
2020,rav,BoylNi00,Nick Boyle,TE,1
2020,rav,BozeBr00,Bradley Bozeman,LG,8
2020,rav,BredBe00,Ben Bredeson,G,1
2020,rav,BrooNa00,Nate Brooks,DB,0
2020,rav,BrowMa04,Marquise Brown,WR,9
2020,rav,BrowOr00,Orlando Brown Jr.,LT/RT,12
2020,rav,BryaDe01,Dez Bryant,WR,1
2020,rav,CampCa99,Calais Campbell,LDE,10
2020,rav,ClarCh00,Chuck Clark,SS,8
2020,rav,ColoTr01,Trystan Colon,C,1
2020,rav,CoxxMo00,Morgan Cox,LS,2
2020,rav,CrawAa00,Aaron Crawford,DT,0
2020,rav,CulkSe00,Sean Culkin,TE,0
2020,rav,DesiPi00,Pierre Desir,DB,0
2020,rav,DobbJK00,J.K. Dobbins,RB,7
2020,rav,DorsKh00,Khalil Dorsey,CB,0
2020,rav,DuveDe00,Devin Duvernay,WR,4
2020,rav,EdwaGu00,Gus Edwards,RB,7
2020,rav,ElliDe02,DeShon Elliott,FS,7
2020,rav,ElliJu01,Justin Ellis,DT,2
2020,rav,FergJa02,Jaylon Ferguson,DE,2
2020,rav,FlukDJ00,D.J. Fluker,RT,5
2020,rav,FortL.00,L.J. Fort,RILB,6
2020,rav,GilcMa00,Marcus Gilchrist,DB,0
2020,rav,GrifRo01,Robert Griffin III,QB,1
2020,rav,HarrDa05,Davontae Harris,DB,1
2020,rav,HarrMa06,Malik Harrison,RILB,4
2020,rav,HillJu00,Justice Hill,RB,1
2020,rav,HoldWi00,Will Holden,T,0
2020,rav,HumpMa00,Marlon Humphrey,LCB,10
2020,rav,HuntTy01,Tyler Huntley,QB,0
2020,rav,IngrMa01,Mark Ingram,RB,3
2020,rav,JackLa00,Lamar Jackson,QB,18
2020,rav,JudoMa00,Matt Judon,ROLB,11
2020,rav,KochSa20,Sam Koch,P,2
2020,rav,LeviAn00,Anthony Levine,DB,2
2020,rav,MaduJu00,Nnamdi Madubuike,DT,2
2020,rav,McPhPe00,Pernell McPhee,LOLB,7
2020,rav,McSoTr00,Trace McSorley,QB,0
2020,rav,MekaPa00,Patrick Mekari,C,5
2020,rav,MoorCh00,Chris Moore,WR,0
2020,rav,MoorNi00,Nick Moore,LS,0
2020,rav,NgakYa00,Yannick Ngakoue,DE,2
2020,rav,PeteMa00,Marcus Peters,RCB,7
2020,rav,PhilTy00,Tyre Phillips,RG,4
2020,rav,PoweBe00,Ben Powers,RG,4
2020,rav,ProcJa00,James Proche,WR,0
2020,rav,QueePa00,Patrick Queen,LILB,10
2020,rav,RicaPa00,Patrick Ricard,FB,1
2020,rav,RichJo00,Jordan Richards,DB,1
2020,rav,RiveCh01,Chauncey Rivers,DE,0
2020,rav,SkurMa01,Matt Skura,C,6
2020,rav,SmitJi03,Jimmy Smith,DB,3
2020,rav,SneaWi00,Willie Snead,WR,5
2020,rav,StanRo00,Ronnie Stanley,LT,4
2020,rav,StonGe00,Geno Stone,S,0
2020,rav,TomlEr01,Eric Tomlinson,TE,0
2020,rav,TownJo01,Johnny Townsend,P,0
2020,rav,TuckJu00,Justin Tucker,K,5
2020,rav,WardJi02,Jihad Ward,DE,1
2020,rav,WashBr01,Broderick Washington Jr.,DT,1
2020,rav,WelcKr00,Kristian Welch,LB,1
2020,rav,WillBr02,Brandon Williams,NT,7
2020,rav,WillTr99,Tramon Williams,DB,0
2020,rav,WillLu00,Luke Willson,TE,0
2020,rav,WolfDe00,Derek Wolfe,RDE,5
2020,rav,YounTa01,Tavon Young,DB,0
2020,cin,AdenHa00,Hakeem Adeniji,LT,3
2020,cin,AkinFr01,Freedom Akinmoladun,DE,0
2020,cin,AlexMa01,Mackensie Alexander,RLB,4
2020,cin,AlleBr00,Brandon Allen,QB,2
2020,cin,AtkiGe99,Geno Atkins,DT,1
2020,cin,BailMa01,Markus Bailey,LB,1
2020,cin,BateJe00,Jessie Bates III,FS,10
2020,cin,BellVo00,Vonn Bell,SS,6
2020,cin,BernGi00,Giovani Bernard,RB,5
2020,cin,BledAm01,Amani Bledsoe,DE,3
2020,cin,BoydTy00,Tyler Boyd,WR,7
2020,cin,BrowAn05,Andrew Brown,DT,0
2020,cin,BrowTo01,Tony Brown,DB,1
