Year,Team,PlayerID,Player,Position,Experience,AV
2005,cle,AndrJo21,Joe Andruzzi,LG,7,5
2005,cle,BaxtGa20,Gary Baxter,RCB,4,3
2005,cle,BoddLe20,Leigh Bodden,RCB,2,5
2005,cle,BryaAn00,Antonio Bryant,WR,3,8
2005,cle,ChamKi20,Kirk Chambers,T,1,1
2005,cle,ColeCo21,Cosey Coleman,RG,5,5
2005,cle,CribJo01,Josh Cribbs,WR,Rook,1
2005,cle,CrocCh20,Chris Crocker,SS,2,7
2005,cle,DaviAn20,Andra Davis,LILB,3,8
2005,cle,dawsophi01,Phil Dawson,K,6,4
2005,cle,DilfTr00,Trent Dilfer,QB,11,6
2005,cle,DorsNa20,Nat Dorsey,T,1,1
2005,cle,DrouRe00,Reuben Droughns,RB,4,10
2005,cle,EasoNi20,Nick Eason,DT,1,1
2005,cle,EdwaBr00,Braylon Edwards,WR,Rook,4
2005,cle,FainJe20,Jeff Faine,C,2,5
2005,cle,FiskJa20,Jason Fisk,NT,10,6
2005,cle,FrasSi20,Simon Fraser,DT,Rook,1
2005,cle,FryeCh00,Charlie Frye,QB,Rook,2
2005,cle,GreeWi01,William Green,RB,3,1
2005,cle,HeidSt00,Steve Heiden,TE,6,3
2005,cle,HuntPe20,Pete Hunter,DB,3,0
2005,cle,IronPa00,Paul Irons,TE,Rook,0
2005,cle,JackFr01,Frisman Jackson,WR,3,2
2005,cle,JoneSe20,Sean Jones,DB,1,1
2005,cle,KellEt20,Ethan Kelley,DT,1,2
2005,cle,LangKe20,Kenard Lang,LOLB,8,3
2005,cle,LehaMi20,Michael Lehan,DB,2,1
2005,cle,LittJo21,Jody Littleton,LB,3,1
2005,cle,McCuDa22,Daylon McCutcheon,LCB,6,7
2005,cle,McInCo00,Corey McIntyre,FB,1,0
2005,cle,McKiAl20,Alvin McKinley,RDE,5,8
2005,cle,McMiDa20,David McMillan,DE,Rook,0
2005,cle,MickRa20,Ray Mickens,DB,9,1
2005,cle,MillBi00,Billy Miller,TE,6,0
2005,cle,NortDe00,Dennis Northcutt,WR,5,4
2005,cle,ParkJV20,J'Vonne Parker,DT,Rook,1
2005,cle,PerkAn20,Antonio Perkins,DB,Rook,0
2005,cle,PontRy20,Ryan Pontbriand,LS,2,1
2005,cle,PoolBr20,Brodney Pool,DB,Rook,2
2005,cle,PuciMi20,Mike Pucillo,LG,2,3
2005,cle,RichKy20,Kyle Richardson,P,8,2
2005,cle,RoyeOr20,Orpheus Roye,LDE,9,9
2005,cle,RuffOr20,Orlando Ruff,LB,6,2
2005,cle,RussBr20,Brian Russell,FS,3,7
2005,cle,SheaAa00,Aaron Shea,TE,5,1
