test_year,n_test,spline_mae,spline_rmse,spline_spearman,xgb_mae,xgb_rmse,xgb_spearman,lgbm_mae,lgbm_rmse,lgbm_spearman,rf_mae,rf_rmse,rf_spearman,catboost_mae,catboost_rmse,catboost_spearman,mlpe_mae,mlpe_rmse,mlpe_spearman,ftt_mae,ftt_rmse,ftt_spearman,tabnet_mae,tabnet_rmse,tabnet_spearman
2009,174,3.9683338596880615,5.111443773111991,0.4057570012219947,3.961666863882679,5.251211952066348,0.4385914601051001,3.5931483261845676,4.753433585833184,0.4771044276373004,3.4018484080720373,4.455952266653356,0.4989038966878521,3.5527853456807086,4.774186182901894,0.45850613156012143,6.387112278512668,8.22566880936838,0.5141805614937592,3.48765958725721,4.8109055417361795,0.5110026275838253,6.051778137159331,8.039464015884825,0.47803556426419036
2010,173,44.461518402442024,99.00834102146884,0.2256729833557163,3.493719393979607,4.717765706649766,0.5841647799275543,3.4993923790263404,4.6958534029090115,0.5249069092987864,3.283498252345124,4.361871496723644,0.589136246722593,3.696744440420674,4.861747483862959,0.43210506541983457,15.828204326331615,48.42922421366317,0.27812091215274504,4.541777710005038,6.354341617323939,-0.061288645385261104,3.3455007393236107,4.779315194460722,0.5770178606219236
2011,188,4.4791782311862365,6.628161027620135,0.5135738256574862,3.9503274326945874,5.787572797847858,0.521437836194448,4.194984356896353,6.048503703948281,0.44273336831784216,3.819576122531258,5.445753309515746,0.5969631588315004,3.748154679582435,5.402814695201213,0.593730529255154,4.379533136580536,6.889516003679469,0.3940608088076924,3.849980557218511,5.741542202594487,0.5753627388805236,8.728132813534838,67.35364642178034,0.4963854001981377
2012,184,3.7750635705328808,5.523599816089639,0.5560172119376605,3.50074693338905,4.90073489203783,0.5992275113556491,3.743851500304037,5.129110755090587,0.54925340713294,3.4331115826521814,4.862461616035847,0.5966290202210165,3.371421670032019,4.822559612183897,0.6016975269063018,3.757910151520501,5.475830511092676,0.5069144233296127,3.4046354015236315,4.916617849999685,0.583758278258992,3.6155614852905273,5.0743126684396955,0.5465578920392273
2013,174,4.148651306586238,5.502605543604376,0.40743392523221983,3.6864022223771302,4.975010905127487,0.516251972716559,3.944769137032389,5.1972876423792425,0.4406050857420189,3.448028077462418,4.581453598555353,0.5458286288745225,3.5483416751894112,4.691796002361497,0.49881662648849884,3.5856954039170823,4.891375674430368,0.506670818509425,3.3558317066609176,4.44417709434166,0.5607015335264889,4.112180994844985,5.292923728849717,0.11679833289431206
2014,169,3.9594644256878055,5.277096070929559,0.45050919330366535,3.7005729321721037,4.926004753632299,0.5085217899194623,3.9879127050843084,5.251094556125133,0.4664605693333995,3.6604545179382644,4.819036594583815,0.5233113433124573,3.5858919425959512,4.739635744145084,0.5284522838209462,3.909915189771257,5.315783360000172,0.44464647671505647,3.8015050718770222,5.000571373435758,0.4985266247892334,3.8369521375238542,5.01794890813422,0.47233729200246166
2015,175,3.3828603727411273,4.442682477543465,0.6096306654377309,3.1861388949730567,4.432682743420939,0.6238641880222113,3.410440371343127,4.5272729596221035,0.597042149999532,3.234146938710178,4.370424698132297,0.6324575256949021,3.2231775851838274,4.327627162515038,0.6237496551014463,3.3061728709084646,4.577936817508319,0.5982279025909812,3.425706817081996,4.553466674869898,0.6022129745105396,3.577954899924142,4.631013416403612,0.6112282827773591
2016,182,4.009838970220667,5.3902218721113115,0.4586133408051749,3.77655024597278,5.053976559349342,0.5165090847129685,3.971807271414327,5.234690199346817,0.4989647080685056,3.632549189377935,4.968188696201014,0.5564809845549951,3.5577291062054335,4.700554788915717,0.5501448772176897,3.577254683761806,5.245980132104899,0.5472389556492802,3.602189675792233,5.141355533480176,0.5409497824403993,4.14867078602969,5.471614456310694,0.3218834955564574
2017,192,3.94933253215234,5.127211031333307,0.46405918782598926,3.61566177305455,4.950377056833198,0.48583826478209596,3.7182752006984394,5.15332095729125,0.49326155819702894,3.5951781862478476,4.825888042317651,0.548376981231357,3.588754475755026,4.823204875486584,0.5197011398649974,3.6472515370696783,5.15271802932658,0.5213343154530198,3.553581330925226,4.806647948874972,0.548708720022674,3.7741749646763005,5.111010270670168,0.5190346470478806
2018,196,3.61755061808515,4.937033997854107,0.5591041786733199,3.1413940380574488,4.448659430455682,0.6214330468570414,3.4060059137684595,4.700300727378324,0.5635653778070444,2.939269209034575,4.1962859826080035,0.6736194827449872,3.0018976364323504,4.263009329966069,0.6333375728608334,3.109152764081955,4.5085282157472335,0.6065583855876964,2.9739177202691836,4.214374504997214,0.6592069313500672,2.9532447402574578,4.433856719877131,0.6781426435110753
2019,195,3.3099507675165816,4.311236414713249,0.5498952719338777,3.151710646580427,4.163373405595525,0.6042915884353214,3.075620701745463,4.142196684543335,0.5863499683969495,2.914581193314914,3.9263408098495267,0.64396640916624,3.0955060060677844,4.043916754017833,0.6263632796294292,3.2548102109860153,4.4313299686560095,0.5537282507069489,3.2102896665915464,4.256402396899541,0.5645282893718603,3.224679822188157,4.229183059832434,0.6021408352786426
2020,208,3.2873591269375786,4.4038365674274145,0.6079328469338642,3.1531285437253804,4.3178998107630555,0.5997904708667651,3.1419166645631074,4.451028931727781,0.6087868393604317,3.1716920471013004,4.426471951503305,0.6065093031318982,3.1020569635228883,4.247677293279931,0.60897758218298,3.21090517193079,4.605298048918631,0.6103321908596041,3.28903892578987,4.628662592653699,0.5934176527744653,4.364174792399774,5.616700751097431,0.22830811303857818
2021,217,3.8377576798731923,5.049626316260219,0.48191507866476196,3.7849295585317546,4.9906883539232805,0.4928926578803076,3.8070781815917503,5.102196327323252,0.456841671873556,3.512259342614038,4.720467272528128,0.5537911163003,3.538503805974748,4.742865860069975,0.5284233459200479,3.538637713902557,4.89225407099243,0.5264477474035848,3.555042258056078,4.713189701154023,0.5432772039805263,3.546702550852903,4.794758286737765,0.5414956456750255
2022,210,3.753338898556595,4.872485891163643,0.5092724466723324,3.739619861188389,4.927006898642538,0.5016684443642563,3.7702852409080485,4.9650521490859765,0.4363949603360332,3.5407154148593465,4.593269070401587,0.517667083166524,3.5962519733016194,4.703469227585653,0.5081547656148221,3.4422934293746947,4.624752550102561,0.526683303774142,3.537897905849275,4.687012952672714,0.5010091490807685,4.384441577820551,5.293776122821324,0.20664724153871317
2023,211,3.271402717698223,4.3323604249966845,0.5431964633578475,3.181657743538725,4.2643313256593665,0.5670544648556878,3.410422819133234,4.517931457413593,0.4817975532917866,3.167752280343436,4.140599983178902,0.5755917674621212,3.131546391602881,4.151671744552532,0.5915360204663516,3.0374007112042034,4.1954727811001025,0.5719133114097249,3.11736805405097,4.09074965889166,0.6083322074848097,3.119805034302987,4.156387333213002,0.5943351470999781
2024,192,3.019037110693192,3.77056068729095,0.6411986955842887,2.9886243622750044,3.869333039969777,0.6243885072260911,3.1529029372667963,4.060830961842523,0.5555907982121452,2.9936236262712455,3.8014777176976535,0.6231240654187846,3.0549169709026707,3.881231790465629,0.6250500645402031,3.0539920267959437,4.083164084389016,0.6152823153535665,3.0759766095628343,4.084568482099045,0.63942915731865,3.078621211151282,3.919354709700729,0.6104014502844625
