year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,spline,8577,255,3.958888814034743,6.180518467845666,0.4371591656769125,-0.3656232611377852
2010,xgb,8577,255,3.07372965693346,4.493785832128983,0.5330828306751044,0.2780521455167343
2010,catboost,8577,255,3.075331204116694,4.4272560042984646,0.5604105638415768,0.2992705666258083
2010,rf,8577,255,3.008381575776898,4.495198876465963,0.5652203612178774,0.27759804968099244
2010,mlpe,8577,255,2.9839011770392028,4.464832122251184,0.5732890437163369,0.2873252749856571
2010,ftt,8577,255,3.002423655196556,4.610066764098398,0.5662122257826468,0.2402065964927813
2010,tabnet,8577,255,3.230602786322149,4.961581441133422,0.49828565527860685,0.11992164978893416
2010,stack,8577,255,2.991988472683808,4.436230572783711,0.5666164292368612,0.29642676527554046
2010,mean,8577,255,4.014610895075064,6.045294031020326,0.0,-0.30651965208695886
2010,pick_bin,8577,255,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.044679259722244735
2015,spline,9849,256,4.10107397744609,6.351357600559742,0.39673210119724867,-0.31086828991894455
2015,xgb,9849,256,3.1927834061423255,4.591130549393428,0.5798787750746379,0.31503999881341926
2015,catboost,9849,256,3.202778148184424,4.583670113099158,0.5803237860898788,0.3172642651571337
2015,rf,9849,256,3.1745613594281084,4.707208599337714,0.5915343858969612,0.2799663125298134
2015,mlpe,9849,256,3.191854827509659,4.798831269455439,0.5568860794614174,0.2516635711862629
2015,ftt,9849,256,3.2068015154867475,4.69373743926521,0.5684857963704554,0.28408162184716623
2015,tabnet,9849,256,3.6319128971077776,5.499857357820472,0.5214245554454178,0.01705599372220734
2015,stack,9849,256,3.1476957737594926,4.617554171755734,0.590416341693381,0.3071329233235017
2015,mean,9849,256,4.143335062569804,6.182165315529351,0.0,-0.24195870369070938
2015,pick_bin,9849,256,3.519697451655406,5.437378452309786,0.5776001912931042,0.039261818867196374
2020,spline,11121,255,4.236060447665588,6.486917086228627,0.39337944839155714,-0.25835400458520463
2020,xgb,11121,255,3.139080821532829,4.751633203046812,0.5826856199640597,0.3248318321066581
2020,catboost,11121,255,3.1965155015576268,4.733390230526715,0.5695161137685745,0.33000623396010487
2020,rf,11121,255,3.2529420882172055,5.001935872378516,0.5658869006486801,0.25182639815332775
2020,mlpe,11121,255,3.2777953213635094,4.944383708522839,0.5616435635853047,0.2689442872306951
2020,ftt,11121,255,3.2004062885068816,4.885846163099723,0.557483157000912,0.28615204654817883
2020,tabnet,11121,255,3.411318879344255,5.184057013881301,0.5564735980148618,0.19635234811533586
2020,stack,11121,255,3.2094804361433678,4.868116764159476,0.5719649375598621,0.2913233646676754
2020,mean,11121,255,4.199520779447469,6.510297484297076,0.0,-0.26744116786232675
2020,pick_bin,11121,255,3.717970722047137,5.687626440771704,0.5522494803141844,0.03263967663076439
2024,spline,12156,257,3.915140504786051,5.846756053805402,0.4771044809841309,-0.12534478347947675
2024,xgb,12156,257,2.985442188695247,4.253577280894218,0.5987728220689319,0.40438680628671
2024,catboost,12156,257,2.99924490053209,4.105188161173068,0.6078905937396737,0.445218730924717
2024,rf,12156,257,2.983001011675142,4.273139028546848,0.6245131254773872,0.3988958862372869
2024,mlpe,12156,257,3.0448307727849544,4.396464858492279,0.5945551433196402,0.36369861815552107
2024,ftt,12156,257,3.0518108762687994,4.386015875893426,0.6114768597970421,0.36671959130887166
2024,tabnet,12156,257,3.072339019892196,4.711977700938285,0.5990235194858616,0.2690930236466742
2024,stack,12156,257,2.9738100467561326,4.15907017005616,0.6186687868408824,0.43055976559980147
2024,mean,12156,257,4.174215740125451,6.028719390237797,0.0,-0.1964809653602695
2024,pick_bin,12156,257,3.39580782564732,4.991037601857028,0.6131897421898097,0.1799556556879075
