depth,learning_rate,l2_leaf_reg,avg_mae,avg_rmse,avg_spearman,avg_r2,last_mae,last_rmse,last_spearman,last_r2,avg_best_iter,elapsed_s
8,0.1,3.0,3.1011,4.4704,0.5963,0.3571,2.992,4.1865,0.6126,0.423,54.0,17.6
4,0.1,3.0,3.1014,4.4002,0.5929,0.3772,3.0047,4.0501,0.6108,0.46,77.0,7.0
8,0.05,1.0,3.1023,4.4705,0.5944,0.3574,3.0247,4.2459,0.6017,0.4065,94.0,24.3
8,0.03,10.0,3.1027,4.4556,0.6046,0.3616,3.0128,4.1826,0.608,0.4241,214.0,42.7
8,0.01,1.0,3.1042,4.4981,0.6063,0.3496,3.0259,4.2668,0.6092,0.4007,485.0,92.1
8,0.1,1.0,3.1051,4.4771,0.6079,0.3553,2.9982,4.1811,0.6082,0.4245,46.0,16.7
8,0.03,5.0,3.1075,4.4831,0.6051,0.3539,3.0348,4.2627,0.6097,0.4018,180.0,37.6
4,0.1,10.0,3.1082,4.4012,0.5887,0.3768,3.052,4.1189,0.6078,0.4415,78.0,6.9
8,0.05,10.0,3.1082,4.4783,0.5992,0.3546,3.0515,4.3007,0.6037,0.3911,134.0,30.0
5,0.1,1.0,3.109,4.4215,0.5923,0.3714,3.0438,4.2123,0.5972,0.4159,59.0,7.8
