test_year,n_train,n_test,cfb_match_rate,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,catboost_mae,catboost_rmse,catboost_spearman,catboost_r2,rf_mae,rf_rmse,rf_spearman,rf_r2,mlpe_mae,mlpe_rmse,mlpe_spearman,mlpe_r2,ftt_mae,ftt_rmse,ftt_spearman,ftt_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2,stack_mae,stack_rmse,stack_spearman,stack_r2,mean_mae,mean_rmse,mean_spearman,mean_r2,pick_bin_mae,pick_bin_rmse,pick_bin_spearman,pick_bin_r2
2007,7814,255,0.0001279754287176862,3.755020465304073,6.144209496158088,0.42178311650873446,-0.3494068970425077,2.9228687540799214,4.441231122222957,0.4944276481384707,0.294953689675453,2.970927270602093,4.382745750173787,0.5126333714957847,0.3134005522890958,2.764519870684757,4.10349700875984,0.5760259728983234,0.3981072148091451,3.576025526033667,5.7953474099932,0.38776022782221065,-0.20052123429546387,3.3972420670369217,5.456517819423919,0.40283953148525076,-0.06424605946376238,4.009986195018476,7.107832019912763,0.28480466757139744,-0.805864689528702,2.970927270602093,4.382745750173787,0.5126333714957847,0.3134005522890958,3.761851779360324,6.051705980240927,0.0,-0.3090810460605471,3.4311225776860454,5.488363997708649,0.5084516066726817,-0.0767049478063282
2008,8069,252,0.00012393109431156277,3.9682603392130957,6.62510015601,0.47753242289376485,-0.3314601009293401,3.3518653659848496,5.061355014709107,0.452804328811931,0.22290008421558316,3.415017783135836,4.865495696265199,0.5137871923486215,0.2818792994872499,2.9977033762136607,4.82792132619057,0.6066284790089375,0.2929280168966628,3.5334295837367433,5.645872422927204,0.557918942413316,0.03304696441970412,3.995074782428378,5.3573927686140355,0.41313237111844675,0.12933670783305107,4.136286790738642,6.147634548482221,0.375667484510819,-0.14646115820595673,3.415017783135836,4.865495696265199,0.5137871923486215,0.2818792994872499,4.0157741660716,6.516416968283892,0.0,-0.2881338477045512,3.5470492498530595,5.920712400774213,0.5668079504524661,-0.06338662058271383
2009,8321,256,0.00024035572647518327,3.7689718510391907,6.033618428481615,0.501373088583762,-0.3481338639574447,3.0142284213441144,4.388615933456066,0.5596196316503231,0.28676526415660186,3.02440921141374,4.273003766091746,0.5832367103826741,0.32384870203603533,2.845497747484737,4.274290772404961,0.5994453765819041,0.3234413342506065,2.930838526100565,4.4567028814706084,0.5851922450732175,0.26446270534496263,2.8811209132263627,4.227492692039628,0.5783160054854384,0.33817515606359727,2.9359936650146228,4.520108229912494,0.5459126015339023,0.24338490359685716,3.02440921141374,4.273003766091746,0.5832367103826741,0.32384870203603533,3.8484528977887273,5.925765654954439,0.0,-0.3003680187972233,3.383037902605291,5.32945277996158,0.5524055229850492,-0.05182277939921964
2010,8577,255,0.0003497726477789437,3.958888814034743,6.180518467845666,0.4371591656769125,-0.3656232611377852,3.07372965693346,4.493785832128983,0.5330828306751044,0.2780521455167343,3.075331204116694,4.4272560042984646,0.5604105638415768,0.2992705666258083,3.008381575776898,4.495198876465963,0.5652203612178774,0.27759804968099244,2.9839011770392028,4.464832122251184,0.5732890437163369,0.2873252749856571,3.002423655196556,4.610066764098398,0.5662122257826468,0.2402065964927813,3.230602786322149,4.961581441133422,0.49828565527860685,0.11992164978893416,2.991988472683808,4.436230572783711,0.5666164292368612,0.29642676527554046,4.014610895075064,6.045294031020326,0.0,-0.30651965208695886,3.4998671589848063,5.405687577249371,0.5510476211146962,-0.044679259722244735
2011,8832,254,0.018568840579710144,4.216262590082724,7.191556849536489,0.48497705935840035,-0.29360538137456405,3.3890895918011665,5.273586908734299,0.5693301088971753,0.3043861941102174,3.364779986988533,5.120105022842198,0.5910181061451104,0.34428711736864837,3.29257658850799,5.355125690089215,0.5847686801391142,0.2827091102384601,3.281253567746911,5.439079903946403,0.5863996151403202,0.2600423650387086,3.347834597472169,5.477314376046277,0.5802798716378572,0.24960261046060261,4.954344112651236,7.23586462872386,-0.0036458748981534252,-0.30959450571103786,3.273683118468622,5.270957250260097,0.5917020225182101,0.3050797526698217,4.238679319297043,7.087936506239371,0.0,-0.2565958314865582,3.7132733579672093,6.3316608580131515,0.6021940544849851,-0.00274675960532611
2012,9086,253,0.03466872110939907,4.220997040089572,6.7914155790067845,0.56703920493857,-0.3433980358055444,3.2694291428289204,4.970438690680382,0.554526952697847,0.28042918859077115,3.169743664970478,4.688323000791378,0.6005638560664088,0.35979487688303935,3.0981631976532515,4.942231797153733,0.6298122877352363,0.2885730434478111,3.211703260957744,5.177426830684981,0.600648468618182,0.2192499227301471,3.21581431670082,5.105765135137631,0.6004763233508544,0.24071335235197355,3.443811626657918,5.564872997128478,0.6093975735698766,0.09802477170980206,3.091429695245619,4.8341673966266585,0.6239150078556975,0.31934433116918504,4.307282889281951,6.660703061002088,0.0,-0.2921836503694988,3.6722369581854912,5.892390234797136,0.5877190203825525,-0.011269940157951686
2013,9339,254,0.04914873112752972,4.025880287773572,6.22696787269945,0.5101043899274594,-0.3533691268263597,3.110400183111664,4.366810094253144,0.5691948249469885,0.33443323694227,3.1278199629918224,4.36311390253436,0.6052151218704452,0.33555946921324853,3.0529422195985876,4.626774624390836,0.6342949453874249,0.25282951987447877,3.072934553642114,4.679288548876382,0.598051873382949,0.23577248699099018,3.059341778293992,4.614978774321926,0.604921582940161,0.2566344495533508,3.806476452730532,5.831752663602153,0.5265077497165928,-0.18702866816830976,3.0297834097385183,4.5102564029433925,0.6314404290551715,0.2899883439221317,4.110674649446526,6.097927289194202,0.0,-0.2978589555942952,3.5160310225250737,5.3817981759304026,0.626312942692814,-0.010922422329789683
2014,9593,256,0.0647347023871573,4.119041470751233,6.617993735886007,0.5348898606225437,-0.29904407569691327,3.3422062317840755,4.7042401479979645,0.5961354953788393,0.3436278414397912,3.40180724682206,4.66790981084337,0.624511246893329,0.3537268755783045,3.2820378794863374,4.897063642975301,0.6152584282229604,0.288716589596144,3.3008246127517222,5.1002990629607305,0.6144151584728018,0.22845285648080071,3.284888043662764,4.868493328704949,0.6231969218840402,0.2969918795310318,3.4412826570469077,5.349783147372012,0.6180219279140033,0.1511253981485684,3.263171839718409,4.759525373506559,0.6269091459737367,0.32810953798668396,4.2568625071666855,6.50020143158492,0.0,-0.25321277436776013,3.6257893908913097,5.721506274709471,0.6166974978940707,0.029061012546885534
2015,9849,256,0.07909432429688293,4.10107397744609,6.351357600559742,0.39673210119724867,-0.31086828991894455,3.1927834061423255,4.591130549393428,0.5798787750746379,0.31503999881341926,3.202778148184424,4.583670113099158,0.5803237860898788,0.3172642651571337,3.1745613594281084,4.707208599337714,0.5915343858969612,0.2799663125298134,3.191854827509659,4.798831269455439,0.5568860794614174,0.2516635711862629,3.2068015154867475,4.69373743926521,0.5684857963704554,0.28408162184716623,3.6319128971077776,5.499857357820472,0.5214245554454178,0.01705599372220734,3.1476957737594926,4.617554171755734,0.590416341693381,0.3071329233235017,4.143335062569804,6.182165315529351,0.0,-0.24195870369070938,3.519697451655406,5.437378452309786,0.5776001912931042,0.039261818867196374
2016,10105,253,0.09203364670954972,4.184856496663561,6.455719221407394,0.41088669749798756,-0.3055627456917871,3.380523209279705,5.004727252547275,0.4932339624326123,0.2153620475647885,3.432449359966061,4.968870072887672,0.4765171058353268,0.22656510182660694,3.4202087844333855,5.197665920714848,0.5036404849243507,0.1536983142607974,3.4671977775781926,5.242647281271791,0.5096597117109269,0.13898689417054433,3.4517350678867578,5.317294184137484,0.4998083241065285,0.11429344327987045,3.540434854034913,5.410268890735419,0.5013037281119913,0.08304888598502003,3.38999842967511,5.075714038819803,0.4928856867512595,0.19294566436832583,4.257339046728716,6.406962799609468,0.0,-0.2859168496619364,3.7788279585628555,5.7530115033988745,0.5048148063642343,-0.036809498155226494
2017,10358,253,0.10561884533693763,4.222533707192541,6.613256786553661,0.41269296476136424,-0.2795236472207798,3.4466805794964666,5.070080694894091,0.542683404049572,0.24794901016532434,3.517175356591737,5.036489277898822,0.5651726738961007,0.2578813062018189,3.4047396345989247,5.214239500762132,0.5761332505096086,0.20457452730229175,3.4725977692321233,5.474656301351961,0.5434669221230966,0.1231379736081245,3.4303182369173837,5.144366875500564,0.5718901059304058,0.2257496499905005,4.200542687916052,7.189290747607551,0.5017073272420066,-0.5121317742041416,3.4305719466118614,5.089417395672384,0.5722835625267882,0.24220160023552606,4.3768304195950964,6.601552191887503,0.0,-0.2749984781266892,3.7703352270125383,5.8836022578162686,0.5410252568388002,-0.012754440272463752
2018,10611,256,0.12232588822919611,4.129567981258912,6.372838466890837,0.4977553572986297,-0.21575101378923178,2.927491586538963,4.465720876822543,0.6969837113688061,0.4030169936902521,2.8776791954654257,4.3216949157444,0.7015928789087376,0.44090317014299596,2.952447453470729,4.577674377853331,0.6999826735740936,0.37270964039761845,3.0845412591064285,4.761581423165428,0.6919352653398281,0.32129468573292264,2.867523809198289,4.507212372945996,0.7034871317012905,0.39187219183423005,3.137409061083442,4.865474233532837,0.6554492239525896,0.29135427206976316,2.8944355934006243,4.425658362955391,0.707887153469666,0.4136801592183341,4.308408947672228,6.554302640110576,0.0,-0.28597285349242574,3.611328125,5.5631652645817224,0.6748475448236227,0.07354838491207238
2019,10867,254,0.14024109689886813,3.9809534768485313,6.003566260792349,0.451485022960059,-0.2652634119408148,3.0224468257483537,4.336464436142884,0.6010680463834139,0.3398632493754804,2.9586256610876345,4.133079546146808,0.6032065092692024,0.40033339933275613,2.9933908934942255,4.35178120083945,0.6138924990862699,0.3351916943945237,3.096485672286353,4.531203084571817,0.5891316435950287,0.27924213911542584,2.8919960500073207,4.26181099771497,0.6127682063164624,0.36239648207018227,3.453335869938831,5.124185113070918,0.5803475017724203,0.07825253079649719,2.9563341242060495,4.247280574777318,0.6121476502807117,0.3667368224174815,4.1242043200935585,6.008056209867524,0.0,-0.26715665085302986,3.524081541601859,5.1736402575651175,0.6002097918796376,0.06037451441114183
2020,11121,255,0.15807930941462098,4.236060447665588,6.486917086228627,0.39337944839155714,-0.25835400458520463,3.139080821532829,4.751633203046812,0.5826856199640597,0.3248318321066581,3.1965155015576268,4.733390230526715,0.5695161137685745,0.33000623396010487,3.2529420882172055,5.001935872378516,0.5658869006486801,0.25182639815332775,3.2777953213635094,4.944383708522839,0.5616435635853047,0.2689442872306951,3.2004062885068816,4.885846163099723,0.557483157000912,0.28615204654817883,3.411318879344255,5.184057013881301,0.5564735980148618,0.19635234811533586,3.2094804361433678,4.868116764159476,0.5719649375598621,0.2913233646676754,4.199520779447469,6.510297484297076,0.0,-0.26744116786232675,3.717970722047137,5.687626440771704,0.5522494803141844,0.03263967663076439
2021,11376,259,0.17484177215189872,4.171910693655429,6.5333502474462986,0.32528843945241853,-0.2736281467581443,3.2865814595378966,4.704179041937078,0.5380351806529983,0.33970432633889025,3.311930844472625,4.7160789462338,0.5377740800314511,0.3363594733724763,3.215734106144672,4.837097272443726,0.548331551019007,0.30186339728240974,3.1679020274246135,4.693822875893147,0.552650532289598,0.3426083844376021,3.2080967326432255,4.91955563589987,0.5488823755922707,0.2778581417821614,3.7068640010890355,6.625568695680914,0.4819405180395115,-0.30983650121492623,3.2470404854993857,4.739511599017824,0.5420658342318809,0.3297482644535389,4.083707351112415,6.395153371286931,0.0,-0.22031709460812476,3.4845066489330785,5.482965884096739,0.5511310948471639,0.10298056307220582
