d_token,n_heads,n_layers,dropout,lr,avg_mae,avg_rmse,avg_spearman,avg_r2,elapsed_s
64,4,2,0.2,0.0001,2.963750596901457,4.32509748273942,0.5994331651243211,0.36848620770175394,137.5
64,4,3,0.2,0.0003,2.972290565880313,4.3411383135329755,0.5986484485751733,0.3632769090057099,141.2
32,4,3,0.2,0.0003,2.979714218705814,4.375574334818548,0.600161450036876,0.35239561499030053,126.1
64,4,3,0.1,0.0003,2.9819912575875196,4.401756346089603,0.6095924512916743,0.3466258448261919,115.5
64,4,2,0.1,0.0001,2.987454090914516,4.3888346393432816,0.6003159204856353,0.34888105909583444,119.9
32,4,3,0.2,0.0001,2.987527079253484,4.375227983023543,0.5961681265302637,0.3527555533042293,176.4
64,4,3,0.1,0.0001,2.99545094194913,4.394462613089135,0.6041917462396141,0.3479270052723146,164.5
32,4,2,0.2,0.0003,3.0002666504785953,4.390683277625794,0.6018382867672022,0.3498384059161197,88.6
64,4,3,0.2,0.0001,3.000522452644559,4.363804569559631,0.5976851370966373,0.35728737914321557,196.4
32,4,3,0.1,0.0003,3.003436580032439,4.418112253851471,0.60239577197836,0.3399092561628218,102.3
64,4,2,0.2,0.0003,3.0043265622884356,4.365106499093042,0.5975692433348004,0.3576144312870608,115.5
32,4,3,0.1,0.0001,3.005750288039346,4.401054086528909,0.598230241188454,0.3460108943418543,160.7
32,4,2,0.1,0.0003,3.014135061515251,4.430736927948504,0.6059034066655249,0.3380202211088375,79.6
32,4,2,0.2,0.0001,3.021228391530592,4.438958511185437,0.594501486526725,0.3363586739890317,125.1
64,4,2,0.1,0.0003,3.022237790912419,4.427358104602589,0.5956917772323005,0.33950139428181747,87.0
32,4,2,0.1,0.0001,3.025283126607755,4.431115807161075,0.5955024983797185,0.33700867732236484,108.9
