test_year,n_train,n_test,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,catboost_mae,catboost_rmse,catboost_spearman,catboost_r2,rf_mae,rf_rmse,rf_spearman,rf_r2,mlpe_mae,mlpe_rmse,mlpe_spearman,mlpe_r2,ftt_mae,ftt_rmse,ftt_spearman,ftt_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2007,7814,255,3.7597601357896675,6.184306389288363,0.4503931672175632,-0.367076728917096,2.950754516390974,4.697120329275072,0.49122053899420737,0.2113682328794113,3.3309883943733634,5.32939491177934,0.3824653776348586,-0.015235279379101963,2.915848476439671,4.322663096837684,0.558339891560968,0.3320965725959584,3.740053094479052,5.7624509789292855,-0.02497788349037846,-0.18693075436643292,3.3791499835347447,5.41858533012726,0.3802464701985962,-0.04950069118176326,3.6416435556162248,5.927746333337238,0.15337702291118602,-0.25600137916875587
2008,8069,252,3.9818434088809136,6.667786353357855,0.4746390513510618,-0.34867284157986855,3.513391496475032,5.485281896309036,0.36177533884293955,0.08727244208879426,3.5555279164714513,5.686009323764129,0.3601550554170302,0.01924982255944918,3.1123666454745185,5.104908846300903,0.5898690528020331,0.20946838353024322,3.3830152403988207,5.54534507175019,0.5392930265771007,0.06717449274722709,3.55443463459405,5.675564831763133,0.38468881503686425,0.02284954561308339,4.074918121379633,6.445460019128911,0.09246146683190268,-0.26023372647551146
2009,8321,256,3.7811206591178808,6.068551609710737,0.536348210048696,-0.36378978860564426,3.139134702316369,4.33014055407794,0.48419052964786696,0.305645392016632,3.2002151219356003,4.491517461983487,0.5162720901320413,0.2529261761019158,2.849903715485183,4.310078304984314,0.6012650513276537,0.3120646036876952,3.0487012872611823,4.472945634593236,0.5358602751851259,0.25909150510809176,3.4889660575377186,4.945431182342259,0.35226994224901503,0.09429730381672252,3.2852747548559886,5.091306379066658,0.351697906467855,0.04007832195005945
2010,8577,255,3.9676211716035565,6.218721627958722,0.4556678013948563,-0.3825578807933834,3.1885039377848017,4.637316192331135,0.49136895962390775,0.23119799603357816,3.1594682982342417,4.564133711850852,0.5206215066562973,0.2552717867285196,2.9848104122796357,4.505680183307942,0.557576665085093,0.27422532065449834,3.0584750189987857,4.660305191697273,0.5515364957233094,0.22355659462716748,3.1311033224040585,4.670099322014092,0.5077078720350577,0.22028960737609915,3.66713041805285,5.587108510366474,0.3738197513852534,-0.11597714638140455
2011,8832,254,4.233646511176462,7.238927356812023,0.5161251523179597,-0.31070336579540214,3.5887765077815397,5.801626631447842,0.4891469755360008,0.1581096535854155,3.5658658959829554,5.6836177505395185,0.5435890662578379,0.19201052877490898,3.400975601793074,5.637198626410599,0.5799954670695899,0.20515462305481003,3.2851399359884406,5.592447535130224,0.5745984518753634,0.21772434527236595,3.4627858218782226,5.831269322775973,0.513115172826733,0.14948460692649712,3.914835225399523,6.512370357233288,0.35189846060640917,-0.06080158356634402
2012,9086,253,4.24875079065208,6.831957275878762,0.5517130221969504,-0.3594848727889577,3.3357402297554044,5.1287769465216915,0.5373007659290648,0.23385368086533842,3.319815685190542,5.064854765045094,0.5491003032629775,0.25283230052569117,3.1559839881312883,5.073776922080264,0.6186952539303202,0.2501975875813762,3.3780024179274624,5.445262475529626,0.5807898502443288,0.13638190510321846,3.2251634581518416,5.331679690202146,0.5455876267556636,0.17203458357395363,4.033609387684746,6.371811231572124,0.23281277341114442,-0.18252382123012412
2013,9339,254,4.039754467260091,6.264414082146548,0.580803465933546,-0.36969518596430806,3.2438286994913903,4.570246855194414,0.5102415180951789,0.27097515035721564,3.17522292858011,4.547422741333974,0.5501615959661255,0.2782385642189915,3.047164986753476,4.597949945834293,0.6259530482359814,0.2621102233277677,3.093513279478631,4.831122543926935,0.617527623245318,0.1853723955593427,3.061561649533417,4.577987192512322,0.5954976353951955,0.2685036528920671,3.1544276702625,4.865229548898268,0.5376530945953173,0.17382949440445072
2014,9593,256,4.122231991796712,6.659224851745305,0.572805032291116,-0.315280985452967,3.5882428072509356,5.161713969589468,0.48763184802269266,0.20975991954007212,3.403271486411516,4.999524543289398,0.5807839441101553,0.2586409515381246,3.3219346894677315,5.061576577158321,0.595440303061933,0.2401238623673133,3.353975239775936,5.232279336330448,0.5966669171311058,0.18800561425115425,3.318565996702443,5.1287999526010095,0.5386587664545552,0.21980582615378763,3.7760134900881637,5.956763625988072,0.40859164113095103,-0.052426844015408314
2015,9849,256,4.103004934663685,6.372480475347854,0.4166549869051901,-0.319601966093064,3.2817501876743336,4.561872861795683,0.5444746549240966,0.3237422086153734,3.266656232072046,4.612519791650356,0.5538960162277523,0.3086429238913475,3.188138035222416,4.766332568000872,0.584277764126948,0.2617650358387761,3.2046096736751455,4.903244111051838,0.5567748957237597,0.21874473393983673,3.201521712264741,4.9200858735521615,0.5474882253859834,0.2133685737735811,3.836944622402328,5.81434319944092,0.3727304732999657,-0.0985687805058666
2016,10105,253,4.169087297141918,6.4779815549071635,0.44435576481139993,-0.3145826509498584,3.4361026455821255,5.16077739985682,0.4914530748222015,0.16566831611469812,3.4962677128101425,5.219491633476674,0.47513904741580576,0.14657591770579215,3.50342553227932,5.378034776709352,0.5083542420673249,0.0939426354350803,3.449015778991624,5.3490351353920325,0.5084486450867844,0.10368764387738161,3.518243604556821,5.343062774537437,0.45731492990501865,0.10568804665792608,4.088942500661681,6.275579809398334,0.3666771977562317,-0.2337188386942759
2017,10358,253,4.238748476835766,6.650675789877404,0.43288411611780553,-0.2940441637421112,3.4618382055768855,5.123378673177252,0.5127783566525622,0.23205440018539447,3.5113883965296933,5.245588579892266,0.533335131839648,0.19498125264470612,3.4636110576167565,5.333427703204372,0.572051939947518,0.1677949077466354,3.624953534880257,5.755696898979568,0.5247390671591452,0.03080006802557289,3.521208835066364,5.287441294429018,0.5229902035150145,0.1820840806583982,3.8065514258382676,5.904266465959641,0.46601014438321486,-0.019880863360908663
2018,10611,256,4.123055653181574,6.376270913395367,0.5396377026624576,-0.21706098708920551,3.0035091231111437,4.817488347571962,0.6239034506769262,0.30526342206397816,3.0692547402189785,4.8070641593291885,0.6807220848644838,0.30826674208272553,3.112841800267681,4.8154320605264305,0.6740862296662736,0.30585637541916066,3.164622575354131,5.032150303278483,0.7041522007810828,0.24197063804167596,3.047479956757149,4.735361890285779,0.6542915593670158,0.3287486552995551,3.7824065071791275,5.906293143631468,0.5520911361379971,-0.04426041610293918
