iter	Passed	Remaining
427	2360	761
428	2366	755
429	2372	750
430	2378	744
431	2383	739
432	2390	734
433	2395	728
434	2401	723
435	2405	717
436	2411	711
437	2416	706
438	2422	700
439	2427	695
440	2432	689
441	2438	684
442	2443	678
443	2449	673
444	2455	667
445	2460	662
446	2465	656
447	2471	650
448	2476	645
449	2481	639
450	2486	634
451	2492	628
452	2498	623
453	2504	617
454	2508	612
455	2513	606
456	2519	600
457	2524	595
458	2530	589
459	2535	584
460	2540	578
461	2547	573
462	2553	568
463	2558	562
464	2564	557
465	2570	551
466	2576	546
467	2581	540
468	2587	535
469	2592	529
470	2597	523
471	2602	518
472	2607	512
473	2613	507
474	2619	501
475	2624	496
476	2629	490
477	2635	485
478	2641	479
479	2647	474
480	2652	468
481	2657	463
482	2662	457
483	2667	451
484	2673	446
485	2679	441
486	2685	435
487	2691	430
488	2696	424
489	2702	419
490	2707	413
491	2713	408
492	2719	402
493	2724	397
494	2728	391
495	2734	385
496	2739	380
497	2745	374
498	2751	369
499	2756	363
500	2761	358
501	2766	352
502	2772	347
503	2777	341
504	2783	336
505	2789	330
506	2794	325
507	2800	319
508	2805	314
509	2811	308
510	2817	303
511	2822	297
512	2827	292
513	2833	286
514	2839	281
515	2844	275
516	2851	270
517	2856	264
518	2862	259
519	2867	253
520	2872	248
521	2878	242
522	2883	237
523	2888	231
524	2893	225
525	2898	220
526	2903	214
527	2909	209
528	2915	203
529	2920	198
530	2925	192
531	2931	187
532	2937	181
533	2942	176
534	2948	170
535	2954	165
536	2959	159
537	2964	154
538	2969	148
539	2975	143
540	2981	137
541	2986	132
542	2992	126
543	2997	121
544	3002	115
545	3008	110
546	3014	104
547	3019	99
548	3026	93
549	3032	88
550	3038	82
551	3044	77
552	3049	71
553	3054	66
554	3059	60
555	3065	55
556	3070	49
557	3075	44
558	3080	38
559	3085	33
560	3090	27
561	3096	22
562	3101	16
563	3106	11
564	3113	5
565	3118	0
