iter	Tweedie:variance_power=1.5
194	3.842991328
195	3.841465897
196	3.840625546
197	3.839817353
198	3.839487696
199	3.839176915
200	3.838857369
201	3.838680348
202	3.838406887
203	3.838249551
204	3.837982797
205	3.837096486
206	3.836715049
207	3.836683148
208	3.836589863
209	3.836263007
210	3.835437596
211	3.835204788
212	3.835084626
213	3.834565426
214	3.834343732
215	3.833298574
216	3.833144275
217	3.833022589
218	3.832647977
219	3.832347925
220	3.832328057
221	3.83214815
222	3.831970348
223	3.831739566
224	3.831525031
225	3.831121204
226	3.830811642
227	3.830044622
228	3.829750201
229	3.829723601
230	3.829616312
231	3.829247875
232	3.829157059
233	3.828982353
234	3.828964827
235	3.828871373
236	3.828721926
237	3.82686035
238	3.826069512
239	3.825993923
240	3.825924668
241	3.82564975
242	3.824619847
243	3.824521636
244	3.824490333
245	3.823982667
246	3.823617067
247	3.823306352
248	3.823192672
249	3.823020762
250	3.822568859
251	3.822427575
252	3.821974278
253	3.821782093
254	3.821236478
255	3.821012659
256	3.820740029
257	3.820365668
258	3.819377947
259	3.819170507
260	3.81848411
261	3.817943494
262	3.817738166
263	3.817553985
264	3.817369166
265	3.817178669
266	3.816816484
267	3.816485969
268	3.816232743
269	3.816034822
270	3.814577124
271	3.814234213
272	3.813709514
273	3.813196115
274	3.81234021
275	3.810735491
276	3.810384717
277	3.810383682
278	3.808679491
279	3.808396093
280	3.80808147
281	3.807773749
282	3.807690715
283	3.80767134
284	3.807531077
285	3.807084383
286	3.80679849
287	3.806624636
288	3.806421176
289	3.806216784
290	3.805708005
291	3.80554181
292	3.805297209
293	3.804981094
294	3.803433914
295	3.803292
296	3.802312759
297	3.802177308
298	3.802076003
299	3.801657722
300	3.801559346
301	3.801226903
302	3.801072774
303	3.800171315
304	3.799840646
305	3.799612608
306	3.799407256
307	3.799288378
308	3.79924649
309	3.798145963
310	3.797931919
311	3.796884852
312	3.796413008
313	3.79614083
314	3.796089064
315	3.796040864
316	3.795211006
317	3.795006362
318	3.794644363
319	3.79450374
320	3.794489234
321	3.794366182
322	3.794350648
323	3.794229244
324	3.794148378
325	3.794135929
326	3.793763623
327	3.793617596
328	3.793463184
329	3.793324458
330	3.792405413
331	3.791485445
332	3.790294199
333	3.790254796
334	3.790241542
335	3.790102049
336	3.789983313
337	3.789091573
338	3.788899981
339	3.78805827
340	3.787788344
341	3.787779959
342	3.787647292
343	3.787404033
344	3.787046861
345	3.786581593
346	3.786460774
347	3.786276187
348	3.786241293
349	3.785968808
350	3.785760495
351	3.78533811
352	3.785088486
353	3.784910433
354	3.784588729
355	3.784285292
356	3.784175947
357	3.783954424
358	3.783407561
359	3.783109904
360	3.783095551
361	3.782871696
362	3.782838811
363	3.782667357
364	3.781705243
365	3.781555391
366	3.781421455
367	3.78116766
368	3.780944194
369	3.780755986
370	3.780598176
371	3.780500078
372	3.780371053
373	3.77999481
374	3.779955389
375	3.779644515
376	3.77942431
377	3.779164121
378	3.778427615
379	3.778327574
380	3.777894313
381	3.777531984
382	3.777386858
383	3.777069603
384	3.776848478
385	3.776467212
386	3.776426124
387	3.776032501
388	3.776003989
