Year,Team,PlayerID,Player,Position,Experience,AV
2017,cle,AlexDo01,Dominique Alexander,LB,1,0
2017,cle,BannZa00,Zach Banner,T,Rook,0
2017,cle,BellB.00,B.J. Bello,LB,Rook,1
2017,cle,BitoJo00,Joel Bitonio,LG,3,6
2017,cle,BoddBr01,Briean Boddy-Calhoun,FS,1,3
2017,cle,BranCa00,Caleb Brantley,DT,Rook,2
2017,cle,BritKe00,Kenny Britt,WR,8,1
2017,cle,BurgJa01,James Burgess,RLB,1,4
2017,cle,CampIb00,Ibraheim Campbell,DB,2,1
2017,cle,CoatSa00,Sammie Coates,WR,2,0
2017,cle,ColeCo00,Corey Coleman,WR,1,2
2017,cle,ColeSh00,Shon Coleman,RT,1,6
2017,cle,ColeTr01,Trevon Coley,LDT,1,6
2017,cle,CollJa00,Jamie Collins,RLB,4,3
2017,cle,ColqBr00,Britton Colquitt,P,7,3
2017,cle,CrowIs00,Isaiah Crowell,RB,3,5
2017,cle,CurrJu00,Justin Currie,DB,Rook,0
2017,cle,DayeMa00,Matthew Dayes,RB,Rook,0
2017,cle,DevaSe00,Seth Devalve,TE,1,3
2017,cle,DranSp00,Spencer Drango,LT,1,4
2017,cle,EdwaLa00,Lavar Edwards,DE,4,0
2017,cle,GarrMy00,Myles Garrett,LDE,Rook,4
2017,cle,GonzZa00,Zane Gonzalez,K,Rook,2
2017,cle,GordJo02,Josh Gordon,WR,5,2
2017,cle,HiggRa00,Rashard Higgins,WR,1,2
2017,cle,HillDa02,Darius Hillary,DB,Rook,0
2017,cle,HogaKe00,Kevin Hogan,QB,1,1
2017,cle,HolmTy01,Tyrone Holmes,DE,1,0
2017,cle,HughCh01,Charley Hughlett,LS,2,1
2017,cle,JohnDu00,Duke Johnson,RB,2,6
2017,cle,JordMi00,Mike Jordan,DB,1,1
2017,cle,KessCo00,Cody Kessler,QB,1,0
2017,cle,KeyeJo00,Josh Keyes,LB,2,0
2017,cle,KindDe00,Derrick Kindred,FS,1,4
2017,cle,KingDe00,Deon King,LB,1,1
2017,cle,KirkCh00,Christian Kirksey,LLB,3,7
2017,cle,KizeDe00,DeShone Kizer,QB,Rook,5
2017,cle,LengMa00,Matt Lengel,TE,1,0
2017,cle,LeslJo00,Jordan Leslie,WR,Rook,0
2017,cle,LouiRi00,Ricardo Louis,WR,1,2
2017,cle,McCoJa99,Jason McCourty,LCB,8,6
2017,cle,McGiT.00,T.Y. McGill,DT,2,0
2017,cle,MedeJa00,Jamie Meder,DT,3,1
2017,cle,NacuKa00,Kai Nacua,DB,Rook,2
2017,cle,NassCa00,Carl Nassib,LDE/RDE,1,5
2017,cle,NjokDa00,David Njoku,TE,Rook,2
2017,cle,OgbaEm00,Emmanuel Ogbah,RDE,1,4
2017,cle,OgunLa00,Larry Ogunjobi,DT,Rook,2
2017,cle,OrchNa00,Nate Orchard,DE,2,2
2017,cle,PeppJa00,Jabrill Peppers,SS,Rook,5
2017,cle,PortRe01,Reggie Porter,DB,Rook,0
2017,cle,ReitAu00,Austin Reiter,C,1,1
2017,cle,SchoJo00,Joe Schobert,MLB,1,9
2017,cle,ShelDa01,Danny Shelton,RDT,2,5
2017,cle,SmitC.00,C.J. Smith,DB,1,0
2017,cle,SmitDe05,Derron Smith,DB,2,1
2017,cle,TaylJa01,Jamar Taylor,RCB,4,6
2017,cle,TelfRa00,Randall Telfer,TE,1,0
2017,cle,ThomJo28,Joe Thomas,LT,10,2
2017,cle,TregBr00,Bryce Treggs,WR,1,1
2017,cle,TretJC00,J.C. Tretter,C,3,6
2017,cle,VitaDa00,Danny Vitale,FB,1,0
2017,cle,WillKa02,Kasen Williams,WR,2,1
2017,cle,WillMa09,Marquez Williams,FB,Rook,0
2017,cle,ZeitKe00,Kevin Zeitler,RG,5,6
2017,rav,AdebQu00,Quincy Adeboyejo,WR,Rook,0
2017,rav,AlleJa01,Javorius Allen,RB,2,7
2017,rav,BergTo00,Tony Bergstrom,T,5,0
2017,rav,BowaLu00,Luke Bowanko,C,3,2
2017,rav,BowsTy00,Tyus Bowser,LB,Rook,2
2017,rav,BoylNi00,Nick Boyle,TE,2,2
2017,rav,BradBa00,Bam Bradley,LB,Rook,0
2017,rav,CampMi02,Michael Campanaro,WR,3,3
2017,rav,CanaMa00,Maurice Canady,DB,1,1
2017,rav,CarrBr99,Brandon Carr,LCB,9,6
2017,rav,ClarCh00,Chuck Clark,DB,Rook,1
2017,rav,CollAl00,Alex Collins,RB,1,9
2017,rav,CorrKa00,Kamalei Correa,LB,1,2
2017,rav,CoxxMo00,Morgan Cox,LS,7,1
2017,rav,DaviCa01,Carl Davis,RDE,2,5
2017,rav,DonnAn00,Andrew Donnal,T,2,1
2017,rav,ElueJe00,Jermaine Eluemunor,G,Rook,2
2017,rav,EscoGa00,Gavin Escobar,TE,4,0
2017,rav,FlacJo00,Joe Flacco,QB,9,9
2017,rav,FreeJo01,Jonathan Freeny,DE,5,0
2017,rav,HenrWi00,Willie Henry,DT,Rook,4
2017,rav,HillJa01,Jaylen Hill,DB,Rook,1
2017,rav,HowaAu20,Austin Howard,RT,7,8
2017,rav,HumpMa00,Marlon Humphrey,DB,Rook,3
2017,rav,HursJa00,James Hurst,LG,3,8
2017,rav,JeanSt00,Stanley Jean-Baptiste,DB,3,0
2017,rav,JeffTo00,Tony Jefferson,SS,4,6
2017,rav,JensRy00,Ryan Jensen,C,3,8
2017,rav,JohnSt02,Steven Johnson,LB,5,1
2017,rav,JudoMa00,Matt Judon,ROLB,1,7
2017,rav,KaufBr01,Bronson Kaufusi,LB,Rook,1
2017,rav,KochSa20,Sam Koch,P,11,2
2017,rav,LeviAn00,Anthony Levine,DB,5,2
2017,rav,MaclJe00,Jeremy Maclin,WR,8,4
2017,rav,MallRy00,Ryan Mallett,QB,5,0
2017,rav,MattCh00,Chris Matthews,WR,3,0
2017,rav,MaylVi00,Vince Mayle,WR,2,0
2017,rav,McRaTo00,Tony McRae,DB,1,0
2017,rav,MoorCh00,Chris Moore,WR,1,2
