Year,Team,PlayerID,Player,Position,Experience,AV
2006,cle,AndeDe00,Derek Anderson,QB,1,2
2006,cle,AndrJo21,Joe Andruzzi,LG,8,5
2006,cle,BaxtGa20,Gary Baxter,DB,5,1
2006,cle,BoddLe20,Leigh Bodden,LCB,3,4
2006,cle,BrowRa20,Ralph Brown,DB,6,2
2006,cle,ButlKe21,Kelly Butler,RT,1,2
2006,cle,ColeCo21,Cosey Coleman,RG,6,5
2006,cle,CribJo01,Josh Cribbs,WR,1,2
2006,cle,DaviAn20,Andra Davis,LILB,4,7
2006,cle,dawsophi01,Phil Dawson,K,7,2
2006,cle,DinkDa00,Darnell Dinkins,TE,4,0
2006,cle,DorsKe00,Ken Dorsey,QB,2,0
2006,cle,DorsNa20,Nat Dorsey,T,2,1
2006,cle,DrouRe00,Reuben Droughns,RB,5,4
2006,cle,EasoNi20,Nick Eason,DT,2,2
2006,cle,EdwaBr00,Braylon Edwards,WR,1,6
2006,cle,FontTh20,Therrian Fontenot,DB,1,0
2006,cle,FralHa20,Hank Fraley,C,5,5
2006,cle,FrasSi20,Simon Fraser,LDE,1,4
2006,cle,FrieLe20,Lennie Friedman,G,6,1
2006,cle,FryeCh00,Charlie Frye,QB,1,5
2006,cle,HamiJu20,Justin Hamilton,RB,Rook,1
2006,cle,HarrOr20,Orien Harris,DT,Rook,0
2006,cle,HarrJe00,Jerome Harrison,RB,Rook,1
2006,cle,HawkMi21,Michael Hawkins,DB,1,0
2006,cle,HeidSt00,Steve Heiden,TE,7,2
2006,cle,HollDa22,Daven Holly,RCB,1,7
2006,cle,JackDQ20,D'Qwell Jackson,RILB,Rook,6
2006,cle,JoneSe20,Sean Jones,SS,1,8
2006,cle,JureJo00,Joe Jurevicius,WR,8,3
2006,cle,KellEt20,Ethan Kelley,DT,2,1
2006,cle,McGiWi00,Willie McGinest,LOLB,12,6
2006,cle,McKiAl20,Alvin McKinley,RDE,6,6
2006,cle,McMiDa20,David McMillan,DE,1,1
2006,cle,MoslKe00,Kendrick Mosley,WR,Rook,0
2006,cle,NortDe00,Dennis Northcutt,WR,6,2
2006,cle,OshiBa20,Babatunde Oshinowo,DT,Rook,0
2006,cle,ParkJV20,J'Vonne Parker,DT,1,0
2006,cle,PerkAn20,Antonio Perkins,DB,1,0
2006,cle,PerrJe20,Jereme Perry,DB,Rook,1
2006,cle,PontRy20,Ryan Pontbriand,LS,3,2
2006,cle,PoolBr20,Brodney Pool,FS,1,4
2006,cle,RoyeOr20,Orpheus Roye,LDE,10,4
2006,cle,RussBr20,Brian Russell,FS,4,5
2006,cle,ShafKe20,Kevin Shaffer,LT,4,5
2006,cle,SmitCl20,Clifton Smith,LB,3,0
2006,cle,SmitRo20,Rob Smith,T-G,Rook,0
2006,cle,SmitTe00,Terrelle Smith,FB,6,0
2006,cle,SoweIs20,Isaac Sowells,T,Rook,0
2006,cle,SpeeNi20,Nick Speegle,LB,1,0
2006,cle,StewMa21,Matt Stewart,LB,5,3
2006,cle,ThomCh23,Chaun Thompson,LB,3,2
2006,cle,TuckRy20,Ryan Tucker,RT,9,3
2006,cle,UnckMa20,Mason Unck,LB,3,1
2006,cle,VickLa00,Lawrence Vickers,FB,Rook,0
2006,cle,WashTe01,Ted Washington,NT,15,7
2006,cle,WillLe20,Leon Williams,LB,Rook,2
2006,cle,WilsTr00,Travis Wilson,WR,Rook,0
2006,cle,WimbKa20,Kamerion Wimbley,ROLB,Rook,8
2006,cle,WinsKe01,Kellen Winslow,TE,2,6
2006,cle,WrigJa01,Jason Wright,RB,2,2
2006,cle,ZastDa20,Dave Zastudil,P,4,2
2006,rav,AndeMi00,Mike Anderson,RB,6,2
2006,rav,BannJu20,Justin Bannan,DT,4,2
2006,rav,BannAl00,Alex Bannister,WR,5,0
2006,rav,BollKy00,Kyle Boller,QB,3,2
2006,rav,BrowJa23,Jason Brown,LG,1,6
2006,rav,ChesCh21,Chris Chester,G,Rook,2
2006,rav,ClayMa01,Mark Clayton,WR,1,8
2006,rav,CodyDa20,Dan Cody,LB,Rook,0
2006,rav,DarlDe00,Devard Darling,WR,2,0
2006,rav,EdwaDw20,Dwan Edwards,DT,2,1
2006,rav,FlynMi20,Mike Flynn,C,8,7
2006,rav,FranAu20,Aubrayo Franklin,DT,3,2
2006,rav,GreeJu00,Justin Green,FB,1,0
2006,rav,GregKe20,Kelly Gregg,LDT,7,10
2006,rav,HaleDe20,Dennis Haley,LB,1,1
2006,rav,HeapTo00,Todd Heap,TE,5,7
2006,rav,IvyxCo20,Corey Ivy,DB,5,1
